pozycja,term,y0,prevalence_pct,kategoria_proponowana,kategoria_ocena,wariant_do,trafnosc,uwaga
501,clinical question,2011,0.173,metoda,metoda,,,
502,pubmed medline,2016,0.173,metoda,metoda,,,
503,greater proportion,2020,0.173,metoda,metoda,,,
504,discrimination,2022,0.173,,,,,
505,virtual reality,2020,0.173,technologia,technologia,,trafna,
506,asd patient,2021,0.173,metoda,metoda,adult spinal deformity,,
507,8 0,2017,0.171,metoda,metoda,,,
508,tea,2013,0.171,technika,technika,total elbow arthroplasty,,
509,graft type,2018,0.171,technika,technika,,watpliwa,
510,hv,2023,0.171,,,,,
511,bone cement leakage,2019,0.171,rozpoznanie,rozpoznanie,,,
512,kinesiophobia,2022,0.171,rozpoznanie,rozpoznanie,,,
513,early onset scoliosis,2011,0.17,rozpoznanie,rozpoznanie,,,
514,pfna,2011,0.17,technologia,technologia,proximal femoral nail antirotation,,
515,bivariate analysis,2016,0.17,metoda,metoda,,,
516,aa,2019,0.17,metoda,metoda,,,
517,opioid prescription,2018,0.17,organizacja,organizacja,,,
518,surgical characteristic,2022,0.17,metoda,metoda,,,
519,this cross sectional study,2021,0.168,metoda,metoda,,,
520,operation duration,2020,0.168,metoda,metoda,,,
521,other outcome,2019,0.167,metoda,metoda,,,
522,receiver operating characteristic curve analysis,2019,0.167,metoda,metoda,,,
523,multivariable logistic regression model,2020,0.167,metoda,metoda,,,
524,binary logistic regression,2022,0.167,,,,,
525,open wedge high tibial osteotomy,2016,0.165,technika,technika,,trafna,
526,open reduction internal fixation group,2019,0.165,technika,technika,,watpliwa,
527,rs,2021,0.165,metoda,metoda,,,
528,elevated risk,2023,0.165,metoda,metoda,,,
529,mowhto,2019,0.165,technika,technika,open wedge high tibial osteotomy,,
530,ihot 12,2021,0.165,skala,skala,hip outcome score activity,,
531,future work,2019,0.164,metoda,metoda,,,
532,mean standard deviation,2017,0.162,metoda,metoda,,,
533,13 9,2014,0.162,metoda,metoda,,,
534,search term,2014,0.162,metoda,metoda,,,
535,chronic kidney disease,2019,0.162,rozpoznanie,rozpoznanie,,,
536,all model,2020,0.162,metoda,metoda,,,
537,protective factor,2023,0.162,metoda,metoda,,,
538,eras,2021,0.162,organizacja,organizacja,enhanced recovery,,
539,control cohort,2018,0.161,metoda,metoda,,,
540,surgical variable,2022,0.161,metoda,metoda,,,
541,limb symmetry index,2020,0.161,skala,skala,,,
542,augmented reality,2022,0.161,technologia,technologia,,trafna,
543,model performance,2022,0.161,metoda,metoda,,,
544,9 0,2016,0.16,metoda,metoda,,,
545,institutional database,2018,0.16,metoda,metoda,,,
546,ppf,2021,0.16,rozpoznanie,rozpoznanie,periprosthetic fracture,,
547,dair,2022,0.16,technika,technika,implant retention,,
548,single academic institution,2022,0.16,metoda,metoda,,,
549,acb,2019,0.158,technika,technika,adductor canal block,,
550,question purpose,2019,0.158,metoda,metoda,,,
551,nah,2020,0.158,metoda,metoda,,,
552,each model,2020,0.158,metoda,metoda,,,
553,morphine milligram equivalent,2020,0.158,wynik,wynik,,,
554,psm,2023,0.158,metoda,metoda,,,
555,koo jr,2022,0.158,skala,skala,osteoarthritis outcome score,,
556,preoperative factor,2019,0.157,metoda,metoda,,,
557,treatment success,2023,0.157,,,,,
558,fao,2018,0.157,metoda,metoda,,,
559,infection risk,2017,0.157,wynik,wynik,,,
560,cephalomedullary nail,2021,0.157,technologia,technologia,,trafna,
561,associated factor,2022,0.157,metoda,metoda,,,
562,lcea,2021,0.157,parametr,parametr,lateral center edge angle,,
563,patient specific factor,2022,0.157,metoda,metoda,,,
564,fracture related infection,2022,0.157,rozpoznanie,rozpoznanie,,,
565,higher revision rate,2018,0.155,metoda,metoda,,,
566,short stem,2015,0.155,technologia,technologia,,trafna,
567,large national database,2022,0.155,metoda,metoda,,,
568,let,2021,0.155,technika,technika,lateral extra articular tenodesis,,
569,tt,2019,0.154,metoda,metoda,,,
570,perioperative data,2021,0.154,,,,,
571,review manager,2021,0.154,metoda,metoda,,,
572,ldfa,2022,0.154,parametr,parametr,,,
573,23 3,2021,0.152,metoda,metoda,,,
574,ten study,2020,0.152,metoda,metoda,,,
575,sarcopenia,2022,0.152,rozpoznanie,rozpoznanie,,,
576,50 0,2017,0.151,metoda,metoda,,,
577,10 study,2021,0.151,metoda,metoda,,,
578,patient acceptable symptomatic state,2019,0.151,metoda,metoda,,,
579,scapular notching,2013,0.149,rozpoznanie,rozpoznanie,,,
580,oxford shoulder score,2015,0.149,skala,skala,,,
581,1 year mortality,2021,0.149,wynik,wynik,,,
582,3d printing technology,2017,0.149,technologia,technologia,,trafna,DO 3D
583,sl,2019,0.149,metoda,metoda,,,
584,less intraoperative blood loss,2022,0.149,metoda,metoda,,,
585,dataset,2022,0.149,metoda,metoda,,,
586,imaging data,2022,0.149,metoda,metoda,,,
587,cervical disc arthroplasty,2016,0.148,technika,technika,,trafna,
588,registry data,2018,0.148,metoda,metoda,,,
589,injury characteristic,2021,0.148,metoda,metoda,,,
590,eq vas,2021,0.148,skala,skala,vas,,
591,significant postoperative improvement,2022,0.148,,,,,
592,coronal plane alignment,2023,0.148,parametr,parametr,,,
593,23 1,2022,0.147,,,,,
594,fragility fracture,2021,0.147,,,,,
595,median follow up time,2017,0.147,metoda,metoda,,,
596,patient cohort,2020,0.147,metoda,metoda,,,
597,white patient,2022,0.147,organizacja,organizacja,,,
598,external validation,2021,0.147,metoda,metoda,,,
599,21 4,2018,0.145,,,,,
600,inclusion and exclusion criterion,2019,0.145,metoda,metoda,,,
601,descriptive analysis,2022,0.145,metoda,metoda,,,
602,each outcome,2019,0.145,metoda,metoda,,,
603,mdo,2021,0.145,niejasne,niejasne,,,
604,arthroplasty surgeon,2022,0.145,organizacja,organizacja,,,
605,this narrative review,2022,0.145,metoda,metoda,,,
606,targeted muscle reinnervation,2021,0.145,technika,technika,,watpliwa,
607,quickdash score,2019,0.144,skala,skala,quickdash,,
608,2 study,2021,0.144,,,,,
609,procedure type,2019,0.144,metoda,metoda,,,
610,greater odd,2020,0.144,metoda,metoda,,,
611,final cohort,2022,0.144,metoda,metoda,,,
612,fi,2022,0.144,metoda,metoda,,,
613,20 5,2020,0.142,metoda,metoda,,,
614,pain interference,2022,0.142,skala,skala,,,
615,binary logistic regression analysis,2021,0.142,metoda,metoda,,,
616,pjf,2022,0.142,rozpoznanie,rozpoznanie,proximal junctional failure,,
617,chronic obstructive pulmonary disease,2018,0.141,rozpoznanie,rozpoznanie,,,
618,12 4,2019,0.141,metoda,metoda,,,
619,hidden blood loss,2015,0.141,wynik,wynik,,,
620,visual analogue scale score,2012,0.141,skala,skala,vas,,
621,29 4,2022,0.141,metoda,metoda,,,
622,stata,2017,0.141,metoda,metoda,,,
623,increased likelihood,2021,0.141,,,,,
624,postoperative vas score,2022,0.141,skala,skala,vas,,
625,anterior cruciate ligament reconstruction group,2018,0.141,,,,,
626,11 study,2021,0.141,metoda,metoda,,,
627,90 day readmission rate,2019,0.141,wynik,wynik,,,
628,joint line convergence angle,2021,0.141,parametr,parametr,,,
629,primary unilateral total knee arthroplasty,2015,0.139,technika,technika,,trafna,
630,national joint registry,2017,0.139,metoda,metoda,,,
631,significantly increased risk,2016,0.139,,,,,
632,peer reviewed journal,2018,0.139,metoda,metoda,,,
633,hrs,2022,0.139,metoda,metoda,,,
634,paired sample t test,2018,0.139,metoda,metoda,,,
635,continuous data,2021,0.139,metoda,metoda,,,
636,kinematic alignment,2022,0.139,technika,technika,,trafna,
637,china national knowledge infrastructure,2020,0.139,metoda,metoda,,,
638,retrospective single center study,2022,0.139,metoda,metoda,,,
639,nonhome discharge,2022,0.139,,,,,
640,jlca,2021,0.139,parametr,parametr,joint line convergence angle,,
641,random forest,2023,0.139,technologia,technologia,,watpliwa,
642,midterm outcome,2015,0.138,wynik,wynik,,,
643,biomarker,2020,0.138,technologia,technologia,,watpliwa,
644,surgery type,2020,0.138,metoda,metoda,,,
645,4 study,2019,0.138,metoda,metoda,,,
646,complication profile,2023,0.138,,,,,
647,longer hospital stay,2021,0.136,metoda,metoda,,,
648,healthcare cost,2022,0.136,organizacja,organizacja,,,
649,95 cis,2015,0.136,metoda,metoda,,,
650,high bmi,2021,0.136,czynnik,czynnik,,,
651,proximal junctional failure,2021,0.136,rozpoznanie,rozpoznanie,,,
652,revision surgery rate,2022,0.136,,,,,
653,vas leg,2022,0.136,skala,skala,,,
654,hip outcome score activity,2019,0.135,skala,skala,,,
655,lla,2020,0.135,parametr,parametr,coronal alignment,,
656,oblique lateral interbody fusion,2020,0.135,technika,technika,,trafna,
657,skilled nursing facility,2016,0.133,organizacja,organizacja,,,
658,cox regression,2023,0.133,metoda,metoda,,,
659,elective total knee arthroplasty,2022,0.133,technika,technika,,trafna,
660,chronic lateral ankle instability,2023,0.133,rozpoznanie,rozpoznanie,,,
661,tja patient,2022,0.133,,,,,
662,roc curve analysis,2023,0.133,metoda,metoda,,,
663,any cause,2017,0.132,metoda,metoda,,,
664,14 2,2018,0.132,metoda,metoda,,,
665,30 kg m2,2018,0.132,metoda,metoda,,,
666,hos adl,2019,0.132,skala,skala,hip outcome score activity,,
667,80 0,2022,0.132,,,,,
668,clinical trial registration,2023,0.132,metoda,metoda,,,
669,12 study,2022,0.132,metoda,metoda,,,
670,rod fracture,2021,0.132,,,,,
671,promis pf,2022,0.132,skala,skala,promis,,
672,eq 5d 5l,2021,0.132,skala,skala,,,
673,adi,2023,0.132,organizacja,organizacja,area deprivation index,,
674,fri,2023,0.132,rozpoznanie,rozpoznanie,fracture related infection,,
675,txa group,2015,0.131,metoda,metoda,tranexamic acid,,
676,15 0,2021,0.131,metoda,metoda,,,
677,21 9,2019,0.131,metoda,metoda,,,
678,semi structured interview,2019,0.131,metoda,metoda,,,
679,all adult patient,2020,0.131,metoda,metoda,,,
680,randomized control trial,2022,0.131,metoda,metoda,,,
681,primary reverse total shoulder arthroplasty,2021,0.131,technika,technika,,trafna,DO REVERSE
682,database inception,2022,0.131,metoda,metoda,,,
683,anterior cruciate ligament return,2023,0.131,,,,,
684,tip apex distance,2017,0.129,parametr,parametr,,,
685,healthcare provider,2017,0.129,,,,,
686,this cohort study,2021,0.129,metoda,metoda,,,
687,lsi,2021,0.129,skala,skala,limb symmetry index,,
688,von mise stress,2022,0.129,parametr,parametr,maximum stress,,
689,this scoping review,2023,0.129,metoda,metoda,,,
690,vte prophylaxis,2012,0.128,lek,lek,,,
691,eleven study,2022,0.128,metoda,metoda,,,
692,black patient,2022,0.128,organizacja,organizacja,,,
693,ed visit,2023,0.128,wynik,wynik,emergency department visit,,
694,clinical outcome score,2013,0.126,skala,skala,,,
695,inconsistency,2021,0.126,metoda,metoda,,,
696,olt,2023,0.126,rozpoznanie,rozpoznanie,osteochondral lesion of the talus,,
697,asc,2023,0.126,organizacja,organizacja,ambulatory surgery center,,
698,generalizability,2023,0.126,metoda,metoda,,,
699,femoral neck shortening,2023,0.126,rozpoznanie,rozpoznanie,,,
700,17 2,2014,0.125,metoda,metoda,,,
701,12 0,2021,0.125,metoda,metoda,,,
702,25 5,2020,0.125,metoda,metoda,,,
703,healthcare professional,2023,0.125,metoda,metoda,,,
704,fracture characteristic,2022,0.125,metoda,metoda,,,
705,plp,2023,0.125,rozpoznanie,rozpoznanie,phantom limb pain,,
706,psychological readiness,2022,0.125,czynnik,czynnik,,,
707,joint line obliquity,2023,0.125,parametr,parametr,,,
708,deep surgical site infection,2021,0.123,,,,,
709,bias assessment,2022,0.123,metoda,metoda,,,
710,dls,2021,0.123,rozpoznanie,rozpoznanie,degenerative lumbar spondylolisthesis,,
711,insurance type,2022,0.123,organizacja,organizacja,,,
712,dh,2022,0.123,niejasne,niejasne,,,
713,funding,2012,0.122,metoda,metoda,,,
714,ds,2018,0.122,niejasne,niejasne,,,
715,31 3,2020,0.122,metoda,metoda,,,
716,30 day complication,2022,0.122,wynik,wynik,,,
717,longer operation time,2022,0.122,,,,,
718,ra total knee arthroplasty,2023,0.122,,,,,
719,mcid achievement,2022,0.122,metoda,metoda,,,
720,local infiltration analgesia,2017,0.12,lek,lek,,,
721,following question,2013,0.12,metoda,metoda,,,
722,end stage ankle arthritis,2015,0.12,rozpoznanie,rozpoznanie,,,
723,data synthesis,2019,0.12,metoda,metoda,,,
724,tertiary hospital,2023,0.12,metoda,metoda,,,
725,25 9,2021,0.12,,,,,
726,patient concern,2017,0.119,metoda,metoda,,,
727,full text,2021,0.119,metoda,metoda,,,
728,patient demographic characteristic,2021,0.119,metoda,metoda,,,
729,pm,2022,0.119,metoda,metoda,,,
730,cutibacterium acne,2019,0.119,rozpoznanie,rozpoznanie,,,
731,social determinant,2023,0.119,organizacja,organizacja,,,
732,11 0,2023,0.118,,,,,
733,18 1,2020,0.118,metoda,metoda,,,
734,tad,2023,0.118,parametr,parametr,tip apex distance,,
735,preoperative opioid use,2018,0.118,czynnik,czynnik,,,
736,cor,2022,0.118,metoda,metoda,,,
737,ambulatory surgery center,2023,0.118,,,,,
738,8 study,2021,0.118,metoda,metoda,,,
739,mechanical lateral distal femoral angle,2021,0.118,,,,,
740,hu value,2023,0.118,parametr,parametr,hounsfield unit,,
741,searche,2023,0.116,,,,,
742,predictor variable,2023,0.116,metoda,metoda,,,
743,fracture morphology,2023,0.116,,,,,
744,reliance,2023,0.116,,,,,
745,maximum von mise,2022,0.116,parametr,parametr,maximum stress,,
746,medicare patient,2018,0.115,organizacja,organizacja,,,
747,gold standard treatment,2023,0.115,metoda,metoda,,,
748,depuy synthe,2018,0.115,,,,,
749,overall revision rate,2023,0.115,wynik,wynik,,,
750,worse clinical outcome,2022,0.115,metoda,metoda,,,
751,mjoa,2022,0.115,,,,,
752,evidence iii,2023,0.115,metoda,metoda,,,
753,rts rate,2022,0.115,,,,,
754,78 6,2022,0.113,metoda,metoda,,,
755,insurance status,2022,0.113,organizacja,organizacja,,,
756,radiologic parameter,2023,0.113,metoda,metoda,,,
757,patient rated wrist evaluation,2022,0.113,skala,skala,,,
758,cochrane library database,2021,0.113,metoda,metoda,,,
759,categorical data,2023,0.113,metoda,metoda,,,
760,total knee arthroplasty procedure,2019,0.112,,,,,
761,twelve study,2021,0.112,metoda,metoda,,,
762,theme,2022,0.112,metoda,metoda,,,
763,multiple database,2023,0.112,metoda,metoda,,,
764,sf 12 pcs,2022,0.112,,,,,
765,hand dash,2014,0.11,skala,skala,quickdash,,
766,22 8,2023,0.11,metoda,metoda,,,
767,foot and ankle outcome score,2018,0.11,,,,,
768,hbl,2020,0.11,,,,,
769,predictive ability,2023,0.11,metoda,metoda,,,
770,training set,2023,0.11,metoda,metoda,,,
771,sb,2011,0.109,metoda,metoda,,,
772,pubmed database,2014,0.109,metoda,metoda,,,
773,lb,2023,0.109,metoda,metoda,,,
774,16 0,2022,0.109,metoda,metoda,,,
775,revision hip arthroscopy,2023,0.109,,,,,
776,pain outcome,2023,0.109,skala,skala,,,
777,lia,2015,0.107,lek,lek,local infiltration analgesia,,
778,24 1,2023,0.107,,,,,
779,postoperative length,2022,0.107,wynik,wynik,,,
780,sagittal parameter,2019,0.107,,,,,
781,daa total hip arthroplasty,2023,0.107,,,,,
782,four database,2023,0.107,metoda,metoda,,,
783,native knee,2015,0.106,niejasne,niejasne,,,
784,prolonged length,2022,0.106,,,,,
785,vas and odi score,2021,0.106,,,,,
786,univariable analysis,2023,0.106,metoda,metoda,,,
787,internal validation,2022,0.106,metoda,metoda,,,
788,prospectively collected database,2018,0.104,metoda,metoda,,,
789,multivariable model,2018,0.104,metoda,metoda,,,
790,masquelet technique,2023,0.104,,,,,
791,nonarthritic hip score,2020,0.104,skala,skala,,,
792,mc,2023,0.104,,,,,
793,t score,2023,0.104,,,,,
794,dca,2023,0.104,metoda,metoda,,,
795,mcmaster university arthritis index,2015,0.103,skala,skala,,,
796,7 study,2020,0.103,metoda,metoda,,,
797,high heterogeneity,2022,0.103,metoda,metoda,,,
798,liposomal bupivacaine,2015,0.102,lek,lek,,,
799,acs nsqip,2015,0.102,metoda,metoda,,,
800,26 9,2021,0.102,,,,,
801,no impact,2020,0.1,,,,,
802,additional benefit,2020,0.1,,,,,
803,each follow up,2020,0.1,metoda,metoda,,,
804,post hoc analysis,2023,0.1,,,,,
805,risk assessment,2023,0.1,,,,,
806,faam,2023,0.1,,,,,
807,ethical approval,2019,0.1,metoda,metoda,,,
808,multivariable linear regression,2023,0.1,metoda,metoda,,,
809,pooled result,2016,0.099,metoda,metoda,,,
810,more comorbidity,2021,0.099,metoda,metoda,,,
811,anesthesiologist classification,2023,0.099,,,,,
812,pooled data,2014,0.097,metoda,metoda,,,
813,vbq,2023,0.097,,,,,
814,30 day readmission rate,2015,0.096,metoda,metoda,,,
815,dual mobility cup,2016,0.094,technologia,technologia,,trafna,
816,multivariate model,2019,0.094,metoda,metoda,,,
817,complication and revision rate,2023,0.094,,,,,
818,non home discharge,2023,0.094,,,,,
819,all article,2021,0.093,metoda,metoda,,,
820,sciencedirect,2016,0.093,metoda,metoda,,,
821,18 6,2023,0.093,,,,,
822,pla,2023,0.093,niejasne,niejasne,,,
823,ldd,2023,0.093,rozpoznanie,rozpoznanie,lumbar degenerative disease,,
824,unilateral anterior cruciate ligament reconstruction,2017,0.091,technika,technika,,trafna,
825,anterolateral ligament,2016,0.09,technika,technika,,bledna,
826,index level,2016,0.083,,,,,
827,metal debris,2012,0.081,rozpoznanie,rozpoznanie,,,
828,adverse local tissue reaction,2014,0.081,rozpoznanie,rozpoznanie,,,
829,player,2017,0.081,metoda,metoda,,,
830,40 kg m2,2020,0.078,,,,,
831,anterior cervical discectomy fusion group,2015,0.077,metoda,metoda,,,
832,rivaroxaban,2008,0.067,lek,lek,,,
833,bundled payment,2015,0.059,organizacja,organizacja,,,
834,comprehensive care,2017,0.058,,,,,
835,fnb,2014,0.055,technika,technika,femoral nerve block,,
836,n a,2013,0.052,metoda,metoda,,,
837,mat,2018,0.051,,,,,
838,ninth revision,2014,0.046,metoda,metoda,,,
839,mom total hip arthroplasty,2014,0.019,technologia,technologia,,trafna,
840,clinical article,2012,0.001,metoda,metoda,,,
841,wiley periodical,2015,0,metoda,metoda,,,
842,orthopedic research society,2016,0,metoda,metoda,,,
843,these slide,2018,0,metoda,metoda,,,
844,electronic supplementary material,2018,0,metoda,metoda,,,
845,inc j orthop res,2016,0,metoda,metoda,,,
# BRAKUJACE
