term,n,y0,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,nachylenie_log,czas_podwojenia_lat,trwalosc_2025_do_szczytu,prac_w_oknie,kategoria,poprzednik,uwagi
a propensity score,3,2016,2025,0.615,0.453,526,,"[2015] Operative versus nonoperative treatment of displaced proximal humeral physeal fractures: a matched cohort. | [2015] Propensity score matching and randomization. | [2015] Differences in the outcomes of anterior versus posterior interbody fusion surgery of the lumbar spine: a propensity score-controlled cohort analysis of 10,941 patients.",[2023] Similar short-term KOOS between open-wedge high tibial osteotomy and total knee arthroplasty in patients over age 60: A propensity score-matched cohort study. | [2023] Comparison of the clinical outcomes following total knee arthroplasty in osseous ankylosed and non-ankylosed knees using propensity-score matching. | [2023] Total Knee Replacement After Arthroscopic Meniscectomy in Knee Osteoarthritis: A Nationwide Population-Based Cohort Study.,0.8,419.8,USA,33.9,6.1,9.2,8703515,10.4,36.9,0.178,3.9,1.0,490,,,
fracture a retrospective,3,2023,2025,0.602,0.449,620,"pin fixation (lift 13.5, wsp. 4); miniplate (lift 12.3, wsp. 7); arthroscopically assisted (lift 8.7, wsp. 4); fracture were treated (lift 8.4, wsp. 10); we suggest that (lift 8.3, wsp. 4)",[2022] The outcome of loose bone fragments in pediatric supracondylar humerus fractures: a retrospective study. | [2022] Correlation between CT images of lateral plateau and lateral meniscus injuries in patients with Schatzker II tibial plateau fractures:a retrospective study. | [2022] Expandable Intravertebral Implant in Cancer-Related Vertebral Compression Fractures: A Retrospective Review of 36 Implantations.,[2023] Conversion total hip arthroplasty following proximal femur fracture: A retrospective analysis. | [2023] Complications After Volar Locking Plate Fixation of Distal Radius Fractures: A Retrospective Study of 822 Patients. | [2023] Ogilvie Syndrome in Patients With Traumatic Pelvic and/or Acetabular Fractures: A Retrospective Cohort Study.,0.9,207.4,China,46.1,4.3,6.0,100968565,11.1,25.7,0.216,3.2,1.0,217,,,
percutaneous endoscopic,2,2017,2020,0.547,0.446,765,"cannula (lift 70.4, wsp. 14); herniated (lift 60.6, wsp. 45); discogenic (lift 43.6, wsp. 7); prolapse (lift 33.7, wsp. 6); or good result (lift 31.9, wsp. 4)",[2016] Surgical Outcome of Percutaneous Endoscopic Interlaminar Lumbar Discectomy for Highly Migrated Disk Herniation. | [2016] Percutaneous endoscopic lumbar discectomy for recurrent lumbar disc herniation. | [2016] The Clinical Results of Percutaneous Endoscopic Interlaminar Discectomy (PEID) in the Treatment of Calcified Lumbar Disc Herniation: A Case-Control Study.,[2023] Retrospective Analysis of Paraspinal Muscle-Splitting Microscopic-Assisted Discectomy Versus Percutaneous Endoscopic Lumbar Discectomy for the Treatment of Far-Lateral Lumbar Disc Herniation. | [2023] Comparison of Clinical Outcomes and Muscle Invasiveness between Unilateral Biportal Endoscopic Discectomy and Percutaneous Endoscopic Interlaminar Discectomy for Lumbar Disc Herniation at L5/S1 Level. | [2023] Development and Validation of a Nomogram to Predict the Risk of Lumbar Disk Reherniation within 2 Years After Percutaneous Endoscopic Lumbar Discectomy.,0.8,479.6,China,80.4,1.5,8.4,101528275,16.2,17.5,0.072,9.6,0.72,619,,,
payment,1,2016,2019,0.922,0.445,1082,"patient because (lift 8.8, wsp. 4); three of the (lift 7.2, wsp. 4); bank (lift 7.0, wsp. 4); giving (lift 4.8, wsp. 4); month period (lift 3.9, wsp. 5)","[2016] Cost-Utility Analysis of 1- and 2-Level Dorsal Lumbar Fusions With and Without Recombinant Human Bone Morphogenic Protein-2 at 1-Year Follow-Up. | [2015] Cost per quality-adjusted life year gained of revision fusion for lumbar pseudoarthrosis: defining the value of surgery. | [2015] Practical aspects of treatment with target specific anticoagulants: initiation, payment and current market, transitions, and venous thromboembolism treatment.","[2023] The impact of dehydration on short-term postoperative complications in total knee arthroplasty. | [2023] Declining Geographic Access to High-Volume Revision Total Hip Arthroplasty Surgeons: A National Medicare Analysis. | [2023] Trends, payments, and costs associated with BMP use in Medicare beneficiaries undergoing spinal fusion.",1.3,603.4,USA,90.0,1.2,22.1,8703515,29.6,9.8,0.143,4.8,0.38,873,,,
the covid 19,3,2020,2020,0.732,0.442,448,"waiting list (lift 52.6, wsp. 9); division of (lift 21.3, wsp. 5); early experience (lift 20.6, wsp. 5); caused a (lift 17.7, wsp. 5); a massive (lift 16.8, wsp. 5)",[2020] What's Important: What Is Our Role in the COVID-19 Pandemic? | [2020] Guidelines for Ambulatory Surgery Centers for the Care of Surgically Necessary/Time-Sensitive Orthopaedic Cases During the COVID-19 Pandemic. | [2020] A Review of State Guidelines for Elective Orthopaedic Procedures During the COVID-19 Outbreak.,"[2023] All Feet on Deck: The Role of Podiatry During the COVID-19 Pandemic: Preventing Hospitalizations in an Overburdened Health-Care System, Reducing Amputation and Death in People with Diabetes. | [2023] Diabetes-Related Major and Minor Amputation Risk Increased During the COVID-19 Pandemic. | [2023] Physical and financial impacts caused by the COVID-19 pandemic exacerbate knee pain: A longitudinal study of a large-scale general population.",1.1,399.8,USA,34.1,6.0,15.6,8703515,9.2,48.3,,,0.37,448,,,
a nationwide,2,2018,2025,0.689,0.442,700,"bank (lift 14.6, wsp. 4); hip replacement in (lift 8.1, wsp. 4); rheumatoid arthritis (lift 5.7, wsp. 10); followup (lift 4.5, wsp. 5); of background data (lift 4.3, wsp. 20)","[2017] Impact of Race and Insurance Status on Surgical Approach for Cervical Spondylotic Myelopathy in the United States: A Population-Based Analysis. | [2017] Impact of Inpatient Venous Thromboembolism Continues After Discharge: Retrospective Propensity Scored Analysis in a Longitudinal Database. | [2017] Primary Versus Revision Spinal Fusion in Children: An Analysis of 74,525 Cases From the Nationwide Inpatient Sample.",[2023] Total Knee Replacement After Arthroscopic Meniscectomy in Knee Osteoarthritis: A Nationwide Population-Based Cohort Study. | [2023] Decreasing incidence of knee arthroscopy in Sweden between 2002 and 2016: a nationwide register-based study. | [2023] The management of developmental dysplasia of the hip in children aged under three months : a consensus study from the British Society for Children's Orthopaedic Surgery.,1.4,368.3,USA,35.0,6.1,11.0,8703515,9.5,42.0,0.067,10.4,1.0,484,,,
narrative review,2,2017,2025,0.555,0.434,486,"paper is (lift 13.9, wsp. 4); guideline for (lift 8.6, wsp. 5); osteoarthritis of the (lift 6.7, wsp. 4); discussed (lift 4.4, wsp. 5); on the basis (lift 3.8, wsp. 4)",[2016] Dermatological and musculoskeletal assessment of diabetic foot: A narrative review. | [2016] Evaluation and treatment of failed shoulder instability procedures. | [2016] Elbow arthroplasty: where are we today? A narrative review.,"[2023] Knee Arthroscopy After Prior Total Knee ArthroplastyType of Study: Narrative Review. | [2023] Answer to the Letter to the Editor of K. Minami, et al. concerning ""An unexpected connection: A narrative review of the associations between gut microbiome and musculoskeletal pain"" by Tonelli et al. (Eur Spine J; 2022: doi:10.1007/s00586-022-07429-y). | [2023] Letter to the Editor concerning ""An unexpected connection: a narrative review of the associations between gut microbiome and musculoskeletal pain"" by Tonelli et al. (Eur Spine J; 2022: doi:10.1007/s00586-022-07429-y).",1.0,391.3,USA,31.8,7.6,9.5,0226040,5.0,76.9,0.205,3.4,1.0,421,,,
lumbar degenerative disease,3,2020,2023,0.511,0.432,604,"stabilization system (lift 30.5, wsp. 5); a fusion (lift 17.0, wsp. 4); disc space (lift 13.4, wsp. 6); pedicle screw instrumentation (lift 12.3, wsp. 4); posterolateral fusion (lift 11.7, wsp. 5)",[2019] Drivers of Variability in 90-Day Cost for Elective Laminectomy and Fusion for Lumbar Degenerative Disease. | [2019] Weekly Teriparatide Administration and Preoperative Anterior Slippage of the Cranial Vertebra Next to Fusion Segment < 2 mm Promote Osseous Union After Posterior Lumbar Interbody Fusion. | [2019] Is Length of Stay Influenced by the Weekday On Which Lumbar Surgery is Performed?,[2023] Is unilateral pedicle screw fixation as effective as bilateral pedicle screw fixation in transforaminal lumbar interbody fusion: a meta-analysis of randomized controlled trials. | [2023] Is local autogenous morselized bone harvested from decompression through a posterior-transforaminal approach sufficient for single-level interbody fusion in the lower lumbar spine? | [2023] An update of interbody cages for spine fusion surgeries: from shape design to materials.,2.2,288.7,China,76.0,1.7,6.6,101528275,12.6,17.2,0.197,3.5,0.9,366,,,
cage subsidence,2,2021,2025,0.615,0.431,533,"mesh cage (lift 50.6, wsp. 8); titanium cage (lift 49.3, wsp. 11); odom (lift 38.4, wsp. 5); solid fusion (lift 21.7, wsp. 6); fusion was achieved (lift 16.8, wsp. 5)","[2020] Full Percutaneous Transforaminal Lumbar Interbody Fusion Using the Facet-sparing, Trans-Kambin Approach. | [2020] Thoracolumbar Vertebral Column Resection With Rectangular Endplate Cages Through a Posterior Approach: Surgical Techniques and Early Postoperative Outcomes. | [2020] Comparison of the effectiveness and safety of bioactive glass ceramic to allograft bone for anterior cervical discectomy and fusion with anterior plate fixation.",[2023] Computational comparison of anterior lumbar interbody fusion and oblique lumbar interbody fusion with various supplementary fixation systems: a finite element analysis. | [2023] Early effect of standalone oblique lateral interbody fusion vs. combined with lateral screw fixation of the vertebral body on single-level lumbar degenerative disc disease: A pilot study. | [2023] Midline Lumbar Fusion Versus Posterior Lumbar Interbody Fusion Involving L5-S1 For Degenerative Lumbar Diseases: A Comparative Study.,1.3,245.7,China,61.5,2.5,5.0,101265112,11.7,15.6,0.128,5.4,1.0,317,,,
dual mobility,2,2011,2022,0.484,0.424,663,"this hypothesis (lift 89.3, wsp. 5); cup were (lift 73.4, wsp. 6); acetabular component and (lift 60.0, wsp. 4); recurrent dislocation (lift 59.2, wsp. 9); cup was (lift 57.4, wsp. 5)",[2010] Dual mobility design use in preventing total hip replacement dislocation following tumor resection. | [2010] Acetabular revision using a press-fit dual mobility cup. | [2010] Do tantalum components provide adequate primary fixation in all acetabular revisions?,[2023] Dual-Mobility Articulations in Total Hip Arthroplasty: A Durable Game Changer or the Next Cause for Concern? | [2023] Fretting corrosion testing of acetabular modular tapers for total hip replacements: A comparison of two designs. | [2023] Hip Abduction Can Be Considered the Sole Posterior Precaution Strategy to Lower the Rate of Impingement After Posterior Approach Total Hip Arthroplasty With Large Femoral Head: A Computer Simulation Study.,0.9,492.8,USA,31.1,6.1,10.2,8703515,21.8,12.2,0.148,4.7,0.84,648,,,
for femoroacetabular impingement,3,2013,2021,0.499,0.421,605,"iv therapeutic case (lift 25.4, wsp. 6); therapeutic case series (lift 23.3, wsp. 6); by use of (lift 17.1, wsp. 5); level iv therapeutic (lift 14.0, wsp. 8); hip in (lift 12.2, wsp. 6)",[2012] Is hip arthroscopy cost-effective for femoroacetabular impingement? | [2012] Surgical hip dislocation for femoroacetabular impingement. | [2012] Peripheral versus central compartment starting point in hip arthroscopy for femoroacetabular impingement.,[2023] Editorial Commentary: Prolonged Delays in Staging Bilateral Hip Arthroscopic Surgery for Femoroacetabular Impingement May Result in Inferior Patient Outcomes: Two Halves of One Problem. | [2023] The Effect of a Formal Nonoperative Management Program Combining a Hip Injection With Structured Adjunctive Exercise Rehabilitation in Patients With Symptomatic Femoroacetabular Impingement Syndrome. | [2023] Patients With Low-Grade Lumbosacral Transitional Vertebrae Demonstrate No Difference in Achievement of Clinical Thresholds After Hip Arthroscopy for Femoroacetabular Impingement Syndrome.,1.2,327.6,USA,67.1,2.2,8.7,8506498,36.8,5.1,0.191,3.6,0.88,562,,,
multicenter retrospective,2,2011,2025,0.522,0.421,568,"thoracic spine (lift 11.3, wsp. 4); object (lift 7.5, wsp. 5); of background data (lift 7.0, wsp. 13); summary of background (lift 6.9, wsp. 13); on the basis (lift 5.2, wsp. 4)",[2010] Absence of combined effects of anemia and bilateral surgical status on inpatient rehabilitation outcomes following total knee arthroplasty. | [2010] Stabilization of sacroiliac luxation in 40 cats using screws inserted in lag fashion. | [2010] Postoperative deep infection in tumor endoprosthesis reconstruction around the knee.,[2023] What Is the Safe Window from Definitive Fixation to Flap Coverage in Type 3B Open Tibia Fractures? Supporting Plastics and Orthopaedics Alliance in Reducing Trauma Adverse Events (SPARTA). | [2023] Predictors of Deep Infection After Distal Femur Fracture: A Multicenter Study. | [2023] Risk Factors for Reoperation to Promote Union in 1111 Distal Femur Fractures.,0.7,483.6,USA,36.2,5.1,12.7,7610646,8.3,34.0,0.116,6.0,1.0,544,,,
at minimum,2,2021,2023,0.541,0.421,654,"two hip (lift 19.1, wsp. 5); of the sf (lift 18.8, wsp. 4); range 24 to (lift 14.8, wsp. 4); reviewed at (lift 13.0, wsp. 6); knee had (lift 12.4, wsp. 5)",[2020] Hip Arthroscopy Successfully Treats Femoroacetabular Impingement in Adolescent Athletes. | [2020] Effective Prevention of Proximal Junctional Failure in Adult Spinal Deformity Surgery Requires a Combination of Surgical Implant Prophylaxis and Avoidance of Sagittal Alignment Overcorrection. | [2020] Fixation of Transverse Acetabular Fractures With Precontoured Plates Alone Causes Fracture Malreduction: A Biomechanical Assessment.,"[2023] Minimally invasive decompression alone versus fusion surgery for acute lumbar disk herniation combined incomplete cauda equina syndrome. | [2023] Lateral decubitus single position anterior posterior surgery improves operative efficiency, improves perioperative outcomes, and maintains radiological outcomes comparable with traditional anterior posterior fusion at minimum 2-year follow-up. | [2023] Anatomical risk factors for aseptic loosening of full hinge knee prosthesis in primary and revision TKAs.",2.6,218.4,USA,58.2,2.9,7.4,8506498,23.9,10.4,0.107,6.5,0.59,310,,,
anatomic total shoulder,3,2015,2023,0.458,0.408,539,"shoulder prosthesis (lift 37.5, wsp. 5); osteoarthritis of the (lift 8.5, wsp. 5); loose (lift 8.5, wsp. 4); resurfacing (lift 5.9, wsp. 5); at an average (lift 5.8, wsp. 4)",[2014] Thirty and ninety-day reoperation rates after shoulder arthroplasty. | [2014] Speed of recovery after shoulder arthroplasty: a comparison of reverse and anatomic total shoulder arthroplasty. | [2014] Stemless shoulder arthroplasty: current status.,[2023] Factors associated with functional improvement after posteriorly augmented total shoulder arthroplasty. | [2023] Trends in Venous Thromboembolism After Shoulder Arthroplasty in the United States: Analysis Following the 2009 American Academy of Orthopaedic Surgeons Clinical Practical Guidelines. | [2023] Comparison of Humeral-Head Replacement with Glenoid-Reaming Arthroplasty (Ream and Run) Versus Anatomic Total Shoulder Arthroplasty: A Matched-Cohort Study.,1.7,342.2,USA,77.2,1.7,8.9,9206499,62.1,2.5,0.158,4.4,0.96,515,,,
proximal junctional kyphosis,3,2016,2025,0.502,0.405,567,"kyphosis of (lift 60.5, wsp. 5); the instrumentation (lift 40.0, wsp. 7); scoliosis study design (lift 37.2, wsp. 6); well recognized (lift 34.4, wsp. 4); motion segment (lift 33.9, wsp. 8)","[2016] Risk Factors for Proximal Junctional Kyphosis Associated With Dual-rod Growing-rod Surgery for Early-onset Scoliosis. | [2015] Prevention of proximal junctional kyphosis after posterior surgery of Scheuermann kyphosis: an operative technique. | [2015] Time to development, clinical and radiographic characteristics, and management of proximal junctional kyphosis following adult thoracolumbar instrumented fusion for spinal deformity.",[2023] Proximal and distal mechanical repercussions of instrumentation by double rods and interbody grafts in adult scoliosis. | [2023] Hooks Versus Pedicle Screws at the Upper Instrumented Level: An In Vitro Biomechanical Comparison. | [2023] The Effects of Global Alignment and Proportionality Scores on Postoperative Outcomes After Adult Spinal Deformity Correction.,1.2,344.9,USA,40.0,4.3,10.0,7610646,14.8,14.2,0.097,7.1,1.0,480,,,
postoperative complication in,3,2023,2025,0.502,0.404,601,"patient with rheumatoid (lift 7.8, wsp. 4); with rheumatoid arthritis (lift 6.8, wsp. 4); the reconstruction of (lift 4.4, wsp. 4); this group (lift 4.0, wsp. 5); the result were (lift 3.4, wsp. 4)",[2022] Prognostic factors for postoperative complications after K-wire fixation for paediatric forearm fractures: a multivariate analysis. | [2022] Postoperative Complications in Patients With Hereditary Hemochromatosis Undergoing Total Joint Arthroplasty: A Matched Cohort Analysis. | [2022] Lack of association of post-discharge prophylactic antibiotics with decreased risk of surgical site infection following spinal fusion.,[2023] Vitamin D status-associated postoperative complications in patients with hip dysplasia after periacetabular osteotomy: A case-control study. | [2023] The impact of dehydration on short-term postoperative complications in total knee arthroplasty. | [2023] Free Vascularized Fibula Graft for Staged Reconstruction of Infected Humerus Nonunions.,1.4,190.4,USA,37.6,3.9,8.7,8703515,7.7,43.0,0.07,9.8,1.0,207,,,
study protocol,2,2019,2020,0.696,0.404,693,"waiting list (lift 28.9, wsp. 5); immobilization in (lift 19.3, wsp. 5); the usual (lift 15.1, wsp. 5); of immobilization (lift 14.6, wsp. 5); replacement has (lift 12.7, wsp. 5)","[2018] Grave fraudulence in medical device research: a narrative review of the PIN seeding study for the Pinnacle hip system. | [2018] The prevention of delirium in elderly with obstructive sleep apnea (PODESA) study: protocol for a multi-centre prospective randomized, controlled trial. | [2018] An integrated-delivery-of-care approach to improve patient reported physical function and mental wellbeing after orthopedic trauma: study protocol for a randomized controlled trial.",[2023] Surgical treatment of neuromuscular Early Onset Scoliosis with a bilateral posterior one-way rod compared to the Spring Distraction System: study protocol for a limited-efficacy Randomized Controlled Trial (BiPOWR). | [2023] Effect of dexmedetomidine on postoperative cognitive dysfunction in elderly patients undergoing orthopaedic surgery: study protocol for a randomized controlled trial. | [2023] Readability of Online Patient Education Materials for Total Joint Arthroplasty: A Systematic Review.,0.6,442.8,China,30.3,8.2,12.8,101263253,24.2,7.6,,,0.74,462,,,
fracture a systematic,3,2014,2021,0.456,0.401,561,"unstable distal (lift 40.6, wsp. 4); english literature (lift 33.5, wsp. 4); in human (lift 10.9, wsp. 5); concluded that (lift 7.2, wsp. 4); concluded (lift 6.6, wsp. 4)",[2013] Nonunion of distal femoral fractures: a systematic review. | [2013] Biomaterials for repair of orbital floor blowout fractures: a systematic review. | [2013] Fixation techniques for complex traumatic transverse sacral fractures: a systematic review.,[2023] Internal Fixation Versus Hemiarthroplasty for Nondisplaced Femoral Neck Fractures: A Systematic Review and Meta-Analysis. | [2023] Anterior locking plate versus non-operative treatment in different age groups with distal radial fractures: a systematic review and meta-analysis. | [2023] Surgical treatment is not superior to nonoperative treatment for displaced proximal humerus fractures: a systematic review and meta-analysis.,0.6,463.2,China,29.6,7.9,7.9,101265112,7.5,37.9,0.166,4.2,0.92,507,,,
recovery after surgery,3,2018,2025,0.482,0.398,469,"infusion (lift 6.6, wsp. 4); experience with (lift 4.1, wsp. 5)","[2017] Spine Oncology-Metastatic Spine Tumors. | [2017] Enhanced recovery after surgery for hip and knee arthroplasty: where is the evidence? | [2017] Effect of low appendicular lean mass, grip strength, and gait speed on the functional outcome after surgery for distal radius fractures.","[2023] Key Elements of Enhanced Recovery after Total Joint Arthroplasty: A Reanalysis of the Enhanced Recovery after Surgery Guidelines. | [2024] Analgesic Effects of Preoperative Combination of Oral Pregabalin and Intravenous Magnesium Sulfate on Postoperative Pain in Patients Undergoing Posterolateral Spinal Fusion Surgery: A 4-arm, Randomized, Double-blind, Placebo-controlled Trial. | [2023] The implementation of enhanced recovery after surgery pathway in patients undergoing posterior thoracolumbar fusion for degenerative spinal deformity.",1.2,346.8,China,45.4,4.0,9.8,101265112,6.4,53.5,0.114,6.1,1.0,408,,,
secondary analysis,2,2019,2025,0.555,0.397,519,"the wrist and (lift 28.6, wsp. 4); infusion (lift 5.8, wsp. 4); the wrist (lift 5.8, wsp. 5); with use of (lift 5.6, wsp. 4); treatment of a (lift 5.5, wsp. 4)",[2018] Intrawound Vancomycin Decreases the Risk of Surgical Site Infection After Posterior Spine Surgery: A Multicenter Analysis. | [2018] Changes in Anxiety and Depression Are Mediated by Changes in Pain Severity in Patients Undergoing Lower-Extremity Total Joint Arthroplasty. | [2018] Pain and sensitization after total knee replacement or nonsurgical treatment in patients with knee osteoarthritis: Identifying potential predictors of outcome at 12 months.,[2023] The number of falls recalled in the past year and balance confidence predict the frequency of injurious falls by unilateral lower limb prosthesis users. | [2023] Is Enoxaparin Associated With a Higher Risk of Persistent Wound Drainage Than Aspirin? A Secondary Analysis of Data From the CRISTAL Randomized Trial. | [2023] Key Modifiable Factors in Community Participation Among Adults With Lower Limb Amputation.,1.1,337.6,USA,43.3,4.7,12.5,0014030,7.7,49.4,0.133,5.2,1.0,377,,,
virtual reality,2,2020,2025,0.515,0.397,531,"arthroscopy of (lift 15.3, wsp. 4); a cadaver (lift 15.0, wsp. 6); transfer of (lift 12.9, wsp. 6); probe (lift 8.7, wsp. 4); we prospectively (lift 6.5, wsp. 4)","[2019] The Duration of Symptoms Does Not Impact Clinical Outcomes Following Lumbar Decompression Surgery. | [2019] Say, What Is on Your Mind? Surgeons' Evaluations of Realism and Usability of a Virtual Reality Vertebroplasty Simulator. | [2019] Editorial Commentary: Inexpensive Training Tools Can Facilitate Basic Arthroscopy Education.","[2023] Establishing minimum clinically important difference for patient-reported outcome measures in patients undergoing lateral lumbar interbody fusion. | [2023] Arthroscopic approach in initial training: Study of a novice cohort using inverse direct and indirect approaches and its implication in the development of training programs. | [2023] Complications, Implant Survivorships, and Functional Outcomes of Conversion Total Knee Arthroplasty With Prior Hardware.",1.1,294.5,USA,43.9,4.6,11.4,8703515,6.9,51.3,0.071,9.8,1.0,350,,,
to sport after,3,2013,2025,0.502,0.397,559,"of the involved (lift 43.5, wsp. 4); suture anchor (lift 13.3, wsp. 4); guideline for (lift 5.9, wsp. 4); resurfacing (lift 5.1, wsp. 4)",[2012] Predictors of participation in sports after hip and knee arthroplasty. | [2012] Translation and measurement properties of the Swedish version of ACL-Return to Sports after Injury questionnaire. | [2012] Running activity after hip resurfacing arthroplasty: a prospective study.,[2023] Validation of a Survey to Characterize Barriers to Physical Activity After Anterior Cruciate Ligament Reconstruction. | [2023] Return to Sport After Arthroscopic Bankart Repair With Remplissage: A Systematic Review. | [2023] Return-to-Sport Outcomes After Anterior Cruciate Ligament Surgical Treatment May Be Improved by Attention to Modifiable Factors and Consideration of Nonmodifiable Factors.,1.1,414.3,USA,32.0,7.7,9.2,7609541,18.5,14.9,0.127,5.5,1.0,530,,,
minimally invasive transforaminal,3,2013,2022,0.491,0.393,637,"this procedure is (lift 17.9, wsp. 4); microscope (lift 15.8, wsp. 4); in a series (lift 13.3, wsp. 5); disc space (lift 13.2, wsp. 5); solid fusion (lift 11.2, wsp. 4)",[2012] Minimally invasive transforaminal lumbar interbody fusion and spondylolisthesis. | [2012] Minimally invasive surgery for the lumbar spine. | [2012] Learning curve and clinical outcomes of minimally invasive transforaminal lumbar interbody fusion: our experience in 86 consecutive cases.,[2023] Improvement following minimally invasive transforaminal lumbar interbody fusion in patients aged 70 years or older compared with younger age groups. | [2023] Minimally invasive versus open transforaminal lumbar interbody fusion for grade I lumbar spondylolisthesis: 5-year follow-up from the prospective multicenter Quality Outcomes Database registry. | [2023] Recovery ratios and minimum clinically important difference for clinical outcomes in workers' compensation recipients undergoing MIS-TLIF versus ALIF.,1.2,379.7,China,40.2,4.0,16.9,101528275,14.1,20.6,0.078,8.9,0.54,581,,,
arthroplasty a retrospective,3,2023,2025,0.522,0.393,541,"epidural anesthesia (lift 16.7, wsp. 4); in the remaining (lift 8.5, wsp. 5); epidural (lift 5.3, wsp. 8); the cup (lift 4.6, wsp. 4); the femoral component (lift 4.2, wsp. 5)",[2022] Incidence and risk factors associated with hospital-acquired pressure ulcers following total hip arthroplasty: A retrospective nationwide inpatient sample database study. | [2022] Contralateral knee flexion predicts postoperative knee flexion in unilateral total knee arthroplasty: A retrospective study. | [2022] Fully hydroxyapatite-coated distal locking cementless femoral modular implant for revision total hip arthroplasty: A retrospective study of 94 Renaissance™ stems at a minimum 10 years' follow-up.,[2023] Predisposing factors for allogeneic blood transfusion in patients with ankylosing spondylitis undergoing primary unilateral total hip arthroplasty: a retrospective study. | [2023] Association Between Platelet Indices and Preoperative Deep Vein Thrombosis in Elderly Patients Undergoing Total Joint Arthroplasty: A Retrospective Study. | [2023] Undetected Intraoperative Periprosthetic Femoral Fractures in Patients Undergoing Primary Total Hip Arthroplasty: A Retrospective Case Series and Literature Review.,1.0,185.7,China,33.7,5.9,5.1,100968565,10.7,23.9,0.126,5.5,1.0,197,,,
a retrospective comparative,3,2021,2025,0.542,0.39,546,"concluded that (lift 6.6, wsp. 6); concluded (lift 5.6, wsp. 6); a group of (lift 5.6, wsp. 5); the method of (lift 5.3, wsp. 5); the cup (lift 4.8, wsp. 4)",[2020] Long-term Outcome of Selective Thoracic Fusion Using Rod Derotation and Direct Vertebral Rotation in the Treatment of Thoracic Adolescent Idiopathic Scoliosis: More Than 10-Year Follow-up Data. | [2020] Patient-related Factors and Perioperative Outcomes Are Associated with Self-Reported Hospital Rating after Spine Surgery. | [2020] Comparison of Perioperative Complications Between Anterior Decompression With Fusion and Laminoplasty For Cervical Spondylotic Myelopathy: Propensity Score-matching Analysis Using Japanese Diagnosis Procedure Combination Database.,[2023] Acute shortening and double-level lengthening versus bone transport for the management of large tibial bone defects after trauma and infection. | [2023] Study of single-level lumbar degenerative diseases treated by unilateral wiltse access with unilateral nail rod fixation assisted by a new automatic retraction device. | [2023] Anterior Cervical Discectomy and Fusion Outcomes in Patients With and Without Bariatric Surgery-Weight Loss Does Make a Difference.,1.4,263.2,China,29.3,7.5,5.9,101265112,10.1,30.2,0.049,14.3,1.0,287,,,
matched analysis,2,2018,2024,0.472,0.389,406,"of background data (lift 5.3, wsp. 11); summary of background (lift 5.3, wsp. 11); technique of (lift 3.1, wsp. 4)",[2017] The Frank Stinchfield Award : Total Hip Arthroplasty for Femoral Neck Fracture Is Not a Typical DRG 470: A Propensity-matched Cohort Study. | [2017] Propensity-matched Analysis of Outcomes and Hospital Charges for Anterior Versus Posterior Cervical Fusion for Cervical Spondylotic Myelopathy. | [2017] Endovascular Versus Open Revascularization for Peripheral Arterial Disease.,[2023] Clinical Effect of Isolated Lateral Closing Wedge Distal Femoral Osteotomy Compared to Medial Opening Wedge High Tibial Osteotomy for the Correction of Varus Malalignment: A Propensity Score-Matched Analysis. | [2023] A propensity score-matched analysis on the impact of patient and surgical factors on early periprosthetic joint infection in minimally invasive anterolateral and transgluteal total hip arthroplasty. | [2023] Effects of a Continuous Adductor Canal Block After Total Knee Arthroplasty.,1.4,295.1,USA,57.2,2.9,14.5,8703515,10.9,28.9,0.198,3.5,0.99,366,,,
percutaneous kyphoplasty,2,2016,2025,0.455,0.383,558,"kyphoplasty is (lift 77.3, wsp. 7); treatment of vertebral (lift 55.2, wsp. 5); body were (lift 45.7, wsp. 5); and kyphoplasty (lift 45.0, wsp. 5); vertebroplasty and kyphoplasty (lift 43.3, wsp. 4)",[2016] Clinical Efficacy of Percutaneous Kyphoplasty at the Hyperextension Position for the Treatment of Osteoporotic Kümmell Disease. | [2015] Cortical screw trajectory for instrumentation and fusion in the setting of osteopathic compression fracture allows for percutaneous kyphoplasty for adjacent level compression fractures. | [2016] Postoperative Functional Evaluation of Percutaneous Vertebroplasty Compared With Percutaneous Kyphoplasty for Vertebral Compression Fractures.,[2023] Bilateral percutaneous kyphoplasty achieves more satisfactory outcomes compared to unilateral percutaneous kyphoplasty in osteoporotic vertebral compression fractures: A comprehensive comparative study. | [2023] A comparative study of PSPVP and PSIBG in the treatment of stage II-III Kummell's disease. | [2023] Comparison of a directional cement delivery device versus conventional device in unilateral percutaneous kyphoplasty for the therapy of osteoporotic thoracolumbar fracture in the elderly.,0.9,369.7,China,93.8,1.1,6.3,101528275,8.3,27.5,0.105,6.6,1.0,446,,,
