rank,poprzednik_A,termin_B,y0_B,podobienstwo,percentyl_losowy,n_A_okno_wczesne,n_B_okno_pozne,okno_wczesne,okno_pozne,n_wspolnych_prac,A_2005,B_2005,A_2006,B_2006,A_2007,B_2007,A_2008,B_2008,A_2009,B_2009,A_2010,B_2010,A_2011,B_2011,A_2012,B_2012,A_2013,B_2013,A_2014,B_2014,A_2015,B_2015,A_2016,B_2016,A_2017,B_2017,A_2018,B_2018,A_2019,B_2019,A_2020,B_2020,A_2021,B_2021,A_2022,B_2022,A_2023,B_2023,A_2024,B_2024,A_2025,B_2025,tytuly_A_wczesne,tytuly_B_pozne,tytuly_WSPOLNE,werdykt
26,with cli,threatening ischemia clti,2020,0.4837,100.0,126,292,2016-2019,2020-2023,0,8,0,13,0,9,0,13,0,24,0,21,0,32,0,21,0,26,0,24,0,27,0,33,0,41,8,27,5,25,13,22,50,15,78,12,81,6,83,3,94,3,121,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
Management of Critical Limb Ischemia.
Predictors of major amputation despite patent bypass grafts.
The Role of Sequential Pneumatic Compression in Limb Salvage in Non-reconstructable Critical Limb Ischemia.
Expansion and angiogenic potential of mesenchymal stem cells from patients with critical limb ischemia.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.",,
27,nationwide inpatient sample,logistic regression,2018,0.4831,100.0,239,2511,2014-2017,2018-2021,36,6,49,5,52,11,58,8,75,18,71,14,102,14,155,23,158,46,245,84,237,50,323,52,382,53,427,43,491,26,577,17,716,15,727,16,727,6,757,18,882,12,1075,"International classification of disease clinical modification 9 modeling of a patient comorbidity score predicts incidence of perioperative complications in a nationwide inpatient sample assessment of complications in spine surgery.
Treatment of femoral head osteonecrosis in the United States: 16-year analysis of the Nationwide Inpatient Sample.
Comparison between cervical total disc replacement and anterior cervical discectomy and fusion of 1 to 2 levels from 2002 to 2009.
Health care burden of anterior cervical spine surgery: national trends in hospital charges and length of stay, 2000-2009.
Incidence, outcomes, and mortality of reintubation after anterior cervical fusion.","Risk Factors for Postoperative Infections After Single-Level Lumbar Fusion Surgery.
The Impact of Resident Involvement in Elective Posterior Cervical Fusion.
Dynamic Splinting in Children and Adolescents With Stiffness After Knee Surgery.
Incidence and Risk Factors for 30-Day Unplanned Readmissions After Elective Posterior Lumbar Fusion.
Risk Factors for Readmissions Following Anterior Lumbar Interbody Fusion.","Psychosocial Factors and Surgical Outcomes in Adult Spinal Deformity: Do Dementia Patients Have More Complications?
Venous thromboembolic prophylaxis after simultaneous bilateral total knee arthroplasty: aspirin versus warfarin.
Insurance Status Affects In-Hospital Complication Rates After Total Knee Arthroplasty.
Total Joint Arthroplasty in Patients With Schizophrenia: How Much Does It Increase the Risk of Complications?
Increasing Burden of Total Hip Arthroplasty Revisions in Patients Between 45 and 64 Years of Age.",
28,critical limb ischemia,clti patient,2020,0.4812,100.0,404,107,2016-2019,2020-2023,7,13,0,27,0,38,0,44,0,66,0,66,0,79,0,82,0,95,0,86,0,89,0,126,0,104,4,90,4,84,5,80,21,67,32,38,30,22,24,29,24,29,29,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
External validation of the Vascular Quality Initiative prediction model for survival in no-option chronic limb-threatening ischemia patients.
Comparative 12-Month Outcomes of Drug-Coated Balloon Versus Non-Drug-Coated Balloon Revascularization Strategy in Chronic Limb-Threatening Ischemia: Results From the XLPAD Registry.
The Association of Preoperative Characteristics with Reintervention Risk in Patients Undergoing Revascularization for Chronic Limb-Threatening Ischemia.
Improved survival with angiotensin-converting enzyme inhibitors and angiotensin receptor blockers in chronic limb-threatening ischemia.","The Association of Preoperative Characteristics with Reintervention Risk in Patients Undergoing Revascularization for Chronic Limb-Threatening Ischemia.
Limb-Based Patency After Surgical vs Endovascular Revascularization in Patients with Chronic Limb-Threatening Ischemia.
Ambulatory Status Over Time after Revascularization in Patients with Chronic Limb-Threatening Ischemia.
Impact of homocysteine levels on mortality risk in patients with chronic limb-threatening ischemia undergoing revascularization.
Health Related Quality of Life Over Time After Revascularisation in Patients With Chronic Limb Threatening Ischaemia.",
29,cli,patient with clti,2020,0.4796,100.0,256,160,2016-2019,2020-2023,6,8,0,21,0,17,0,22,0,43,0,48,0,61,0,51,0,59,0,51,0,57,0,72,0,75,4,53,3,56,9,47,21,33,40,24,51,18,48,23,62,30,61,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.
Endovascular Surgery, Open Surgery, and Primary Amputation in Nonagenarians Presenting with Critical Limb Ischemia.
In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.
Comparative 12-Month Outcomes of Drug-Coated Balloon Versus Non-Drug-Coated Balloon Revascularization Strategy in Chronic Limb-Threatening Ischemia: Results From the XLPAD Registry.","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Surgery or Endovascular Therapy for Chronic Limb-Threatening Ischemia.
Relationship between WIfI stage and quality of life at revascularization in the BEST-CLI trial.
Baseline modern medical management in the BEST-CLI trial.
Perioperative complications following open or endovascular revascularization for chronic limb-threatening ischemia in the BEST-CLI Trial.",
30,limb ischemia cli,with clti,2020,0.4784,100.0,214,194,2016-2019,2020-2023,0,4,0,15,0,15,0,17,0,32,0,38,0,53,0,40,0,54,0,46,0,52,0,65,0,63,4,43,4,43,12,41,30,26,50,16,57,9,57,7,73,7,71,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.
Endovascular Surgery, Open Surgery, and Primary Amputation in Nonagenarians Presenting with Critical Limb Ischemia.
In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.","Descriptive title: The body with chronic limb-threatening ischaemia: A phenomenologically derived understanding.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.",,
31,for critical limb,limb threatening,2021,0.4752,100.0,91,621,2017-2020,2021-2024,11,6,13,7,20,9,11,15,17,13,12,25,24,25,10,22,16,29,6,22,8,25,14,27,16,26,25,30,21,14,38,21,110,13,144,6,145,3,146,5,186,1,193,"A Multicenter Predictive Score for Amputation-Free Survival for Patients Operated on with an Heparin-Bonded ePTFE Graft for Critical Limb Ischemia.
[Omniflow-IITM for critical limb ischemia : Long-term results].
Editor's Choice - Dual Antiplatelet Therapy Improves Outcome in Diabetic Patients Undergoing Endovascular Femoropopliteal Stenting for Critical Limb Ischaemia.
The effect of ambulatory status on outcomes of percutaneous vascular interventions and lower extremity bypass for critical limb ischemia in the Vascular Quality Initiative.
Response to ""Re. Analysis of the Elective Treatment Process for Critical Limb Ischaemia with Tissue Loss: Diabetic Patients Require Rapid Revascularisation"".","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Phage Therapy for Limb-threatening Prosthetic Knee Klebsiella pneumoniae Infection: Case Report and In Vitro Characterization of Anti-biofilm Activity.
Validation of Global Limb Anatomical Staging System (GLASS) in patients with hemodialysis and Chronic Limb-Threatening Ischemia after endovascular treatment.
Outcomes of open and hybrid treatments in below the knee pathology for critical limb threatening ischemia.
Evaluation of Clinical Outcomes After Revascularization in Patients With Chronic Limb-Threatening Ischemia: Results From a Prospective National Cohort Study (RIVALUTANDO).","Outcomes of open and hybrid treatments in below the knee pathology for critical limb threatening ischemia.
Modern multidisciplinary team approach is crucial in treatment for critical limb threatening ischemia.
Contemporary Endovascular 30-Day Outcomes for Critical Limb Threatening Ischemia Relative to Surgical Bypass Grafting.
Multi-Level Lower Extremity Arterial Revascularization Via Retrograde Pedal Access Under Local Anesthesia in a Patient With Severe Cardiopulmonary Comorbidities: A Case Report.
The Society for Vascular Surgery Objective Performance Goals for Critical Limb Ischemia are attainable in select patients with ischemic wounds managed with wound care alone.",
32,question purpose,ci,2016,0.475,100.0,1065,4378,2012-2015,2016-2019,331,0,88,0,114,0,121,0,161,20,204,195,235,249,343,248,425,276,525,317,656,224,815,171,964,135,1019,123,1115,133,1280,128,1452,128,1514,108,1477,75,1327,80,1628,87,2057,"Is percutaneous repair better than open repair in acute Achilles tendon rupture?
Can wedge osteotomy correct depression of the lateral tibial plateau mimicking posterolateral rotatory knee instability?
Can arthroscopically assisted treatment of chronic patellar tendinopathy reduce pain and restore function?
Can tantalum cones provide fixation in complex revision knee arthroplasty?
Single- versus double-bundle ACL reconstruction: is there any difference in stability and function at 3-year followup?","Risk Factors for Postoperative Infections After Single-Level Lumbar Fusion Surgery.
[Release of moveable segments after dorsal stabilization : Impact on affected discs].
Promising Mid-term Results With a Cup-cage Construct for Large Acetabular Defects and Pelvic Discontinuity.
Is There a Benefit to Highly Crosslinked Polyethylene in Posterior-stabilized Total Knee Arthroplasty? A Randomized Trial.
Orthopaedic Surgery Residents and Program Directors Agree on How Time Is Currently Spent in Training and Targets for Improvement.","Promising Mid-term Results With a Cup-cage Construct for Large Acetabular Defects and Pelvic Discontinuity.
Is There a Benefit to Highly Crosslinked Polyethylene in Posterior-stabilized Total Knee Arthroplasty? A Randomized Trial.
Orthopaedic Surgery Residents and Program Directors Agree on How Time Is Currently Spent in Training and Targets for Improvement.
Wear and Osteolysis of Highly Crosslinked Polyethylene at 10 to 14 Years: The Effect of Femoral Head Size.
What Are the Risk Factors and Management Options for Infection After Reconstruction With Massive Bone Allografts?",
33,question purpose,95 ci,2016,0.4738,100.0,1065,3938,2012-2015,2016-2019,315,0,72,0,99,0,104,0,139,20,181,195,209,249,297,248,379,276,478,317,598,224,732,171,878,135,919,123,985,133,1156,128,1287,128,1371,108,1326,75,1176,80,1419,87,1857,"Is percutaneous repair better than open repair in acute Achilles tendon rupture?
Can wedge osteotomy correct depression of the lateral tibial plateau mimicking posterolateral rotatory knee instability?
Can arthroscopically assisted treatment of chronic patellar tendinopathy reduce pain and restore function?
Can tantalum cones provide fixation in complex revision knee arthroplasty?
Single- versus double-bundle ACL reconstruction: is there any difference in stability and function at 3-year followup?","Risk Factors for Postoperative Infections After Single-Level Lumbar Fusion Surgery.
[Release of moveable segments after dorsal stabilization : Impact on affected discs].
Promising Mid-term Results With a Cup-cage Construct for Large Acetabular Defects and Pelvic Discontinuity.
Is There a Benefit to Highly Crosslinked Polyethylene in Posterior-stabilized Total Knee Arthroplasty? A Randomized Trial.
Orthopaedic Surgery Residents and Program Directors Agree on How Time Is Currently Spent in Training and Targets for Improvement.","Promising Mid-term Results With a Cup-cage Construct for Large Acetabular Defects and Pelvic Discontinuity.
Is There a Benefit to Highly Crosslinked Polyethylene in Posterior-stabilized Total Knee Arthroplasty? A Randomized Trial.
Orthopaedic Surgery Residents and Program Directors Agree on How Time Is Currently Spent in Training and Targets for Improvement.
Wear and Osteolysis of Highly Crosslinked Polyethylene at 10 to 14 Years: The Effect of Femoral Head Size.
What Are the Risk Factors and Management Options for Infection After Reconstruction With Massive Bone Allografts?",
34,critical limb ischemia,limb event male,2020,0.4724,100.0,404,77,2016-2019,2020-2023,10,13,0,27,0,38,0,44,0,66,0,66,1,79,3,82,1,95,6,86,8,89,10,126,10,104,6,90,15,84,13,80,25,67,21,38,18,22,13,29,40,29,43,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","Selective Use of Anticoagulation or Dual Antiplatelet Therapy for Patients with Extra-anatomic Bypasses.
Effect of Intra-operative Intra-arterial Thrombolysis on Long Term Clinical Outcomes in Patients with Acute Popliteal Artery Aneurysm Thrombosis.
Real-World Outcomes of EKOS Ultrasound-Enhanced Catheter-Directed Thrombolysis for Acute Limb Ischemia.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Implications of early failure of isolated endovascular tibial interventions.","Outcomes after Open Lower Extremity Revascularization in Patients with Critical Limb Ischemia.
Single Tertiary Care Center Outcomes After Lower Extremity Cadaveric Vein Bypass for Limb Salvage.
Endovascular or open surgical treatment of high-risk patients with infrainguinal peripheral arterial disease and critical limb ischemia.
Laser Atherectomy for Infrapopliteal Lesions in Patients With Critical Limb Ischemia.
Contemporary Endovascular Outcomes for Critical Limb Ischemia Are Still Failing to Meet Society for Vascular Surgery Objective Performance Goals.",
35,nationwide inpatient sample,or 1,2018,0.4724,100.0,239,1340,2014-2017,2018-2021,27,6,30,5,29,11,29,8,46,18,40,14,61,14,69,23,70,46,113,84,125,50,159,52,222,53,241,43,261,26,312,17,377,15,390,16,390,6,367,18,428,12,519,"International classification of disease clinical modification 9 modeling of a patient comorbidity score predicts incidence of perioperative complications in a nationwide inpatient sample assessment of complications in spine surgery.
Treatment of femoral head osteonecrosis in the United States: 16-year analysis of the Nationwide Inpatient Sample.
Comparison between cervical total disc replacement and anterior cervical discectomy and fusion of 1 to 2 levels from 2002 to 2009.
Health care burden of anterior cervical spine surgery: national trends in hospital charges and length of stay, 2000-2009.
Incidence, outcomes, and mortality of reintubation after anterior cervical fusion.","Risk Factors for Postoperative Infections After Single-Level Lumbar Fusion Surgery.
The Impact of Resident Involvement in Elective Posterior Cervical Fusion.
Predictors of 30-Day Hospital Readmission After Posterior Cervical Fusion in 3401 Patients.
Incidence and Risk Factors for 30-Day Unplanned Readmissions After Elective Posterior Lumbar Fusion.
Blood Transfusion Incidence, Risk Factors, and Associated Complications in Surgical Treatment of Hip Dysplasia.","The Risks of Hepatitis C in Association With Cervical Spinal Surgery: Analysis of Radiculopathy and Myelopathy Patients.
Does Parkinson Disease Increase the Risk of Perioperative Complications After Total Hip Arthroplasty? A Nationwide Database Study.
Impact of Psychiatric Comorbidities on Short-Term Outcomes Following Intervention for Lumbar Degenerative Disc Disease.
What are the Short-Term Outcomes in Multiple Sclerosis Patients after Total Knee Arthroplasty?
Total Joint Arthroplasty in Patients With Schizophrenia: How Much Does It Increase the Risk of Complications?",
36,the nationwide inpatient,comorbidity,2019,0.4713,100.0,145,2645,2015-2018,2019-2022,20,3,39,2,53,8,82,6,108,13,130,10,148,8,198,18,217,38,306,74,343,34,365,34,423,42,454,35,500,15,618,8,675,6,647,12,705,4,639,11,798,6,906,"International classification of disease clinical modification 9 modeling of a patient comorbidity score predicts incidence of perioperative complications in a nationwide inpatient sample assessment of complications in spine surgery.
Health care burden of anterior cervical spine surgery: national trends in hospital charges and length of stay, 2000-2009.
Does HIV infection increase the risk of perioperative complications after THA? A nationwide database study.
Greater operative volume is associated with lower complication rates in adolescent spinal deformity surgery.
Periprosthetic shoulder infection in the United States: incidence and economic burden.","Participation in Regular Physical Activity After Total Knee or Hip Arthroplasty for Osteoarthritis: Prevalence, Associated Factors, and Type.
What Factors Influence Reimbursement for 1 to 2 Level Anterior Cervical Discectomy and Fusion Procedures?
Quantitative Risk Factor Analysis of Postoperative Dysphagia After Anterior Cervical Discectomy and Fusion (ACDF) Using the Eating Assessment Tool-10 (EAT-10).
Perioperative Catheter Use as a Risk Factor for Surgical Site Infection After Cervical Surgery: An Analysis of 39,893 Patients.
Lack of Cost Savings for Lumbar Spine Fusions After Bundled Payments for Care Improvement Initiative: A Consequence of Increased Case Complexity.","Patient and Practice Trends in Total Ankle Replacement and Tibiotalar Arthrodesis in the United States From 2007 to 2013.
Risk Factors for Cerebrospinal Fluid Leak Following Anterior Cervical Discectomy and Fusion.
Machine Learning Accurately Predicts Short-Term Outcomes Following Open Reduction and Internal Fixation of Ankle Fractures.
Smoking and Total Hip Arthroplasty: Increased Inpatient Complications, Costs, and Length of Stay.
Venous Thromboembolic Events after Total Knee Arthroplasty: Which Patients Are at a High Risk?",
37,femoral nerve block,canal block acb,2019,0.4685,100.0,188,89,2015-2018,2019-2022,19,16,0,19,0,9,0,14,0,19,0,19,0,22,0,26,0,29,2,49,4,54,5,58,21,39,16,37,13,31,23,28,20,24,22,20,24,16,11,21,20,21,21,"Effect of adductor canal block versus femoral nerve block on quadriceps strength, mobilization, and pain after total knee arthroplasty: a randomized, blinded study.
The reliability of the current perception threshold in volunteers and its applicability in a clinical setting.
Potential superiority of periarticular injection in analgesic effect and early mobilization ability over femoral nerve block following total knee arthroplasty.
Trends and Demographics in Anterior Cruciate Ligament Reconstruction in the United States.
Impact of regional femoral nerve block during general anesthesia for hip arthoplasty on blood pressure, heart rate and pain control: A randomized controlled study.","Evidence Basis for Regional Anesthesia in Ambulatory Arthroscopic Knee Surgery and Anterior Cruciate Ligament Reconstruction: Part II: Adductor Canal Nerve Block-A Systematic Review and Meta-analysis.
Addition of Infiltration Between the Popliteal Artery and the Capsule of the Posterior Knee and Adductor Canal Block to Periarticular Injection Enhances Postoperative Pain Control in Total Knee Arthroplasty: A Randomized Controlled Trial.
A prospective randomized open-label study of single injection versus continuous adductor canal block for postoperative analgesia after total knee arthroplasty.
The Efficacy and Safety of Combined Adductor Canal Block with Periarticular Anesthetic Injection Following Primary Total Knee Arthroplasty: A Meta-Analysis.
Effect of Adductor Canal Block on Acute Perioperative Pain and Function in Total Knee Arthroplasty.","Evidence Basis for Regional Anesthesia in Ambulatory Arthroscopic Knee Surgery and Anterior Cruciate Ligament Reconstruction: Part II: Adductor Canal Nerve Block-A Systematic Review and Meta-analysis.
A prospective randomized open-label study of single injection versus continuous adductor canal block for postoperative analgesia after total knee arthroplasty.
Effects of adductor canal block versus femoral nerve block in patients with anterior cruciate ligament reconstruction: A protocol for a systematic review and meta-analysis.
Continuous femoral nerve block is more effective than continuous adductor canal block for treating pain after total knee arthroplasty: A randomized, double-blind, controlled trial.
Adductor canal blocks for postoperative pain treatment in adults undergoing knee surgery.",
38,patient with cli,limb threatening ischemia,2020,0.4681,100.0,98,416,2016-2019,2020-2023,5,8,4,10,3,6,6,13,8,20,3,17,7,22,3,18,1,18,1,20,2,23,3,26,3,32,13,20,14,20,23,19,77,13,109,9,108,6,122,2,161,2,165,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
Management of Critical Limb Ischemia.
Predictors of major amputation despite patent bypass grafts.
The Role of Sequential Pneumatic Compression in Limb Salvage in Non-reconstructable Critical Limb Ischemia.
Expansion and angiogenic potential of mesenchymal stem cells from patients with critical limb ischemia.","Paclitaxel-Coated Balloon for the Treatment of Infrainguinal Disease: 12-Month Outcomes in the All-Comers Cohort of BIOLUX P-III Global Registry.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Implications of early failure of isolated endovascular tibial interventions.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.","Duplex Ultrasound May Predict the Best Level of Lower Limb Amputation in Patients with Chronic Limb-Threatening Ischemia: A Retrospective Observational Cohort Study.
Arterial calcification and long-term outcome in chronic limb-threatening ischemia patients.
Participation in a Chronic Limb Threatening Ischemia Randomized Trial Is Inversely Correlated With Regional Amputation Rate in Limb Threatening Ischemia Patients.
Mesenchymal stem cells for critical limb ischemia: their function, mechanism, and therapeutic potential.
ERICVA Risk Scale simplified as a predictor of amputation in critical limb ischemia.",
39,cli patient,limb threatening ischemia,2020,0.4678,100.0,83,416,2016-2019,2020-2023,3,1,4,1,3,3,6,7,8,15,3,15,7,13,3,17,1,16,1,14,2,17,3,24,3,25,13,18,14,16,23,10,77,12,109,5,108,4,122,2,161,1,165,"In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.
Long-term clinical outcomes in critical limb ischemia--A retrospective study of 181 patients.
Expansion and angiogenic potential of mesenchymal stem cells from patients with critical limb ischemia.
Validation of the Wound, Ischemia, foot Infection (WIfI) classification system in nondiabetic patients treated by endovascular means for critical limb ischemia.
Geriatric Nutritional Risk Index (GNRI) Independently Predicts Amputation Inchronic Criticallimb Ischemia (CLI).","Paclitaxel-Coated Balloon for the Treatment of Infrainguinal Disease: 12-Month Outcomes in the All-Comers Cohort of BIOLUX P-III Global Registry.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Implications of early failure of isolated endovascular tibial interventions.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.","Arterial calcification and long-term outcome in chronic limb-threatening ischemia patients.
Participation in a Chronic Limb Threatening Ischemia Randomized Trial Is Inversely Correlated With Regional Amputation Rate in Limb Threatening Ischemia Patients.
Perioperative complications following open or endovascular revascularization for chronic limb-threatening ischemia in the BEST-CLI Trial.",
40,limb ischemia cli,patient with clti,2020,0.4667,100.0,214,160,2016-2019,2020-2023,0,4,0,15,0,15,0,17,0,32,0,38,0,53,0,40,0,54,0,46,0,52,0,65,0,63,4,43,3,43,9,41,21,26,40,16,51,9,48,7,62,7,61,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.
Endovascular Surgery, Open Surgery, and Primary Amputation in Nonagenarians Presenting with Critical Limb Ischemia.
In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.
Comparative 12-Month Outcomes of Drug-Coated Balloon Versus Non-Drug-Coated Balloon Revascularization Strategy in Chronic Limb-Threatening Ischemia: Results From the XLPAD Registry.",,
41,the nationwide inpatient,regression,2019,0.4662,100.0,145,5881,2015-2018,2019-2022,21,3,129,2,137,8,168,6,187,13,237,10,280,8,368,18,416,38,538,74,598,34,698,34,849,42,941,35,1093,15,1372,8,1496,6,1499,12,1514,4,1448,11,1715,6,2031,"International classification of disease clinical modification 9 modeling of a patient comorbidity score predicts incidence of perioperative complications in a nationwide inpatient sample assessment of complications in spine surgery.
Health care burden of anterior cervical spine surgery: national trends in hospital charges and length of stay, 2000-2009.
Does HIV infection increase the risk of perioperative complications after THA? A nationwide database study.
Greater operative volume is associated with lower complication rates in adolescent spinal deformity surgery.
Periprosthetic shoulder infection in the United States: incidence and economic burden.","Systematic Selection of Key Logistic Regression Variables for Risk Prediction Analyses: A Five-Factor Maximum Model.
Hospitals' adoption of medical device registers: Evidence from the German Arthroplasty Register.
Does Perioperative Hemoglobin A1c Level Affect the Incidence, Pattern and Mortality of Lower Extremity Amputation?
Is the ""Appropriate Use Criteria"" for Type II Supracondylar Humerus Fractures Really Appropriate?
Strength Testing After Anterior Cruciate Ligament Reconstruction: A Prospective Cohort Study Investigating Overlap of Tests.","Inhospital Complications of Patients With Neuromuscular Disorders Undergoing Total Joint Arthroplasty.
Risk Factors for Cerebrospinal Fluid Leak Following Anterior Cervical Discectomy and Fusion.
Machine Learning Accurately Predicts Short-Term Outcomes Following Open Reduction and Internal Fixation of Ankle Fractures.
Gender Differences for Hip and Knee Arthroplasty: Complications and Healthcare Utilization.
Insurance Status Affects Complication Rates After Total Hip Arthroplasty.",
