term,n,y0,udzial_2005,udzial_2006,udzial_2007,udzial_2008,udzial_2009,udzial_2010,udzial_2011,udzial_2012,udzial_2013,udzial_2014,udzial_2015,udzial_2016,udzial_2017,udzial_2018,udzial_2019,udzial_2020,udzial_2021,udzial_2022,udzial_2023,udzial_2024,udzial_2025,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,poprzednik_glowny,tytuly_poprzednika,tytuly_WSPOLNE,kategoria,poprzednik,uwagi
systematic review,2,2014,0.496,0.394,0.82,0.756,1.413,1.501,1.859,2.013,2.518,2.957,3.559,3.712,4.201,4.691,4.999,5.312,6.599,6.903,6.95,7.228,7.612,2025,7.612,7.055,10854,"quasi randomized (lift 9.3, wsp. 26); conclusion on the (lift 8.8, wsp. 24); we undertook a (lift 6.7, wsp. 13); english literature (lift 6.6, wsp. 18); searched the cochrane (lift 6.5, wsp. 15)","[2013] Lateral extracavitary, costotransversectomy, and transthoracic thoracotomy approaches to the thoracic spine: review of techniques and complications. | [2013] Computer-assisted total knee arthroplasty is currently of no proven clinical benefit: a systematic review. | [2013] Prevalence of adjacent segment degeneration after spine surgery: a systematic review and meta-analysis.",[2023] Success Rate of Mandible Implants Placed in Vascularized Fibula Bone Graft: A Systematic Review. | [2023] Evaluation of the Posterior Tilt Angle in Predicting Failure of Nondisplaced Femoral Neck Fractures After Internal Fixation: A Systematic Review. | [2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis.,quasi randomized,[2012] Manipulative interventions for reducing pulled elbow in young children. | [2012] Intramedullary nailing for tibial shaft fractures in adults. | [2012] Surgical versus non-surgical interventions for treating humeral shaft fractures in adults.,[2012] Anatomic Bankart repair compared with nonoperative treatment and/or arthroscopic lavage for first-time traumatic shoulder dislocation. | [2012] Comparison of the minimally invasive and standard medial parapatellar approaches for primary total knee arthroplasty. | [2012] Chinese manipulation for mechanical neck pain: a systematic review.,,,
enhanced recovery,2,2016,0.0,0.0,0.0,0.0,0.01,0.0,0.033,0.041,0.082,0.074,0.081,0.122,0.146,0.215,0.374,0.399,0.462,0.415,0.436,0.445,0.589,2025,0.589,0.47,582,"total hip replacement (lift 6.9, wsp. 10); hip replacement (lift 5.3, wsp. 11)",[2015] Blood transfusion in hip and knee arthroplasties: the end of the pre-operative group and save? | [2015] Pre-operative education prior to elective hip arthroplasty surgery improves postoperative outcome. | [2015] Short-stretch inelastic compression bandage in knee swelling following total knee arthroplasty study (STICKS): study protocol for a randomised controlled feasibility study.,"[2023] Key Elements of Enhanced Recovery after Total Joint Arthroplasty: A Reanalysis of the Enhanced Recovery after Surgery Guidelines. | [2024] Analgesic Effects of Preoperative Combination of Oral Pregabalin and Intravenous Magnesium Sulfate on Postoperative Pain in Patients Undergoing Posterolateral Spinal Fusion Surgery: A 4-arm, Randomized, Double-blind, Placebo-controlled Trial. | [2023] The implementation of enhanced recovery after surgery pathway in patients undergoing posterior thoracolumbar fusion for degenerative spinal deformity.",total hip replacement,[2014] Taper design affects failure of large-head metal-on-metal total hip replacements. | [2014] Palliative hip surgery in severe cerebral palsy: a systematic review. | [2014] Osteonecrosis of the hip in Korean patients with systemic lupus erythematosus: risk factors and clinical outcome.,[2014] A multidisciplinary enhanced recovery programme allows discharge within two days of total hip replacement; three- to five-year results of 100 patients. | [2014] Older patients have the most to gain from orthopaedic enhanced recovery programmes. | [2014] Is a preoperative group and save necessary for enhanced recovery joint replacement patients?,,,
covid 19 pandemic,3,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767,0.643,0.602,0.481,0.29,0.274,2020,0.767,0.46,467,"waiting list (lift 45.0, wsp. 8); division of (lift 20.5, wsp. 5); caused a (lift 20.4, wsp. 6); early experience (lift 19.8, wsp. 5); a massive (lift 16.1, wsp. 5)",[2020] What's Important: What Is Our Role in the COVID-19 Pandemic? | [2020] Guidelines for Ambulatory Surgery Centers for the Care of Surgically Necessary/Time-Sensitive Orthopaedic Cases During the COVID-19 Pandemic. | [2020] A Review of State Guidelines for Elective Orthopaedic Procedures During the COVID-19 Outbreak.,"[2023] All Feet on Deck: The Role of Podiatry During the COVID-19 Pandemic: Preventing Hospitalizations in an Overburdened Health-Care System, Reducing Amputation and Death in People with Diabetes. | [2023] Diabetes-Related Major and Minor Amputation Risk Increased During the COVID-19 Pandemic. | [2023] Physical and financial impacts caused by the COVID-19 pandemic exacerbate knee pain: A longitudinal study of a large-scale general population.",waiting list,"[2018] Total Knee Replacement and the Effect of Technology on Cocreation for Improved Outcomes and Delivery: Qualitative Multi-Stakeholder Study. | [2018] Paraplegia as a presentation of primary hyperoxaluria. | [2018] Improving physical activity, pain and function in patients waiting for hip and knee arthroplasty by combining targeted exercise training with behaviour change counselling: study protocol for a randomised controlled trial.",[2020] Operating room efficiency and timing during coronavirus disease 2019 outbreak in a referral orthopaedic hospital in Northern Italy. | [2020] Returning to Elective Orthopedic Surgery During the COVID-19 Pandemic: A Multidisciplinary and Pragmatic Strategy for Initial Patient Selection. | [2021] Is it safe yet? Patient readiness and perceptions about returning to hospital for planned orthopaedic care.,,,
the covid 19,3,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.643,0.56,0.458,0.27,0.268,2020,0.732,0.442,448,"waiting list (lift 52.6, wsp. 9); division of (lift 21.3, wsp. 5); early experience (lift 20.6, wsp. 5); caused a (lift 17.7, wsp. 5); a massive (lift 16.8, wsp. 5)",[2020] What's Important: What Is Our Role in the COVID-19 Pandemic? | [2020] Guidelines for Ambulatory Surgery Centers for the Care of Surgically Necessary/Time-Sensitive Orthopaedic Cases During the COVID-19 Pandemic. | [2020] A Review of State Guidelines for Elective Orthopaedic Procedures During the COVID-19 Outbreak.,"[2023] All Feet on Deck: The Role of Podiatry During the COVID-19 Pandemic: Preventing Hospitalizations in an Overburdened Health-Care System, Reducing Amputation and Death in People with Diabetes. | [2023] Diabetes-Related Major and Minor Amputation Risk Increased During the COVID-19 Pandemic. | [2023] Physical and financial impacts caused by the COVID-19 pandemic exacerbate knee pain: A longitudinal study of a large-scale general population.",waiting list,"[2018] Total Knee Replacement and the Effect of Technology on Cocreation for Improved Outcomes and Delivery: Qualitative Multi-Stakeholder Study. | [2018] Paraplegia as a presentation of primary hyperoxaluria. | [2018] Improving physical activity, pain and function in patients waiting for hip and knee arthroplasty by combining targeted exercise training with behaviour change counselling: study protocol for a randomised controlled trial.",[2020] Returning to Elective Orthopedic Surgery During the COVID-19 Pandemic: A Multidisciplinary and Pragmatic Strategy for Initial Patient Selection. | [2020] Resuming elective hip and knee arthroplasty in the COVID-19 era: a unique insight into patient risk aversion and sentiment. | [2021] Is it safe yet? Patient readiness and perceptions about returning to hospital for planned orthopaedic care.,,,
cage subsidence,2,2021,0.076,0.06,0.047,0.072,0.039,0.055,0.084,0.083,0.127,0.112,0.074,0.072,0.16,0.167,0.187,0.214,0.306,0.408,0.473,0.364,0.615,2025,0.615,0.431,533,"mesh cage (lift 50.6, wsp. 8); titanium cage (lift 49.3, wsp. 11); odom (lift 38.4, wsp. 5); solid fusion (lift 21.7, wsp. 6); fusion was achieved (lift 16.8, wsp. 5)","[2020] Full Percutaneous Transforaminal Lumbar Interbody Fusion Using the Facet-sparing, Trans-Kambin Approach. | [2020] Thoracolumbar Vertebral Column Resection With Rectangular Endplate Cages Through a Posterior Approach: Surgical Techniques and Early Postoperative Outcomes. | [2020] Comparison of the effectiveness and safety of bioactive glass ceramic to allograft bone for anterior cervical discectomy and fusion with anterior plate fixation.",[2023] Computational comparison of anterior lumbar interbody fusion and oblique lumbar interbody fusion with various supplementary fixation systems: a finite element analysis. | [2023] Early effect of standalone oblique lateral interbody fusion vs. combined with lateral screw fixation of the vertebral body on single-level lumbar degenerative disc disease: A pilot study. | [2023] Midline Lumbar Fusion Versus Posterior Lumbar Interbody Fusion Involving L5-S1 For Degenerative Lumbar Diseases: A Comparative Study.,mesh cage,[2019] [Safety and efficacy of an electron beam melting technique-manufactured titanium mesh cage for lumbar interbody fusion]. | [2019] Effect of Dome-Shaped Titanium Mesh Cages on Cervical Endplate Under Cyclic Loading: An In Vitro Biomechanics Study. | [2019] Design and preliminary biomechanical analysis of a novel motion preservation device for lumbar spinal disease after vertebral corpectomy.,[2020] Application of Titanium Alloy 3D-Printed Artificial Vertebral Body for Stage III Kümmell's Disease Complicated by Neurological Deficits. | [2021] PEEK vs Titanium Cage for Anterior Column Reconstruction in Active Spinal Tuberculosis: A Comparative Study. | [2021] The effects of titanium mesh cage size on the biomechanical responses of cervical spine after anterior cervical corpectomy and fusion: A finite element study.,,,
dual mobility,2,2011,0.0,0.012,0.012,0.041,0.01,0.074,0.1,0.116,0.127,0.156,0.17,0.288,0.313,0.375,0.322,0.357,0.431,0.484,0.458,0.344,0.408,2022,0.484,0.424,663,"this hypothesis (lift 89.3, wsp. 5); cup were (lift 73.4, wsp. 6); acetabular component and (lift 60.0, wsp. 4); recurrent dislocation (lift 59.2, wsp. 9); cup was (lift 57.4, wsp. 5)",[2010] Dual mobility design use in preventing total hip replacement dislocation following tumor resection. | [2010] Acetabular revision using a press-fit dual mobility cup. | [2010] Do tantalum components provide adequate primary fixation in all acetabular revisions?,[2023] Dual-Mobility Articulations in Total Hip Arthroplasty: A Durable Game Changer or the Next Cause for Concern? | [2023] Fretting corrosion testing of acetabular modular tapers for total hip replacements: A comparison of two designs. | [2023] Hip Abduction Can Be Considered the Sole Posterior Precaution Strategy to Lower the Rate of Impingement After Posterior Approach Total Hip Arthroplasty With Large Femoral Head: A Computer Simulation Study.,this hypothesis,"[2009] Total shoulder arthroplasty: downward inclination of the glenoid component to balance supraspinatus deficiency. | [2009] Greater trochanter displacements after Charnley's trochanterotomy, during passive hip movements: a real-time 3D cadaveric approach. | [2009] A randomized clinical trial comparing immediate active motion with immobilization after tendon transfer for claw deformity.",[2009] Prevention of dislocation in total hip revision surgery using a dual mobility design. | [2010] Posterior approach and dislocation rate: a 213 total hip replacements case-control study comparing the dual mobility cup with a conventional 28-mm metal head/polyethylene prosthesis. | [2011] Treatment of recurrent THR dislocation using of a cementless dual-mobility cup: a 59 cases series with a mean 8 years' follow-up.,,,
at minimum,2,2021,0.038,0.048,0.152,0.114,0.088,0.083,0.117,0.124,0.105,0.119,0.2,0.194,0.243,0.271,0.277,0.387,0.437,0.429,0.541,0.391,0.321,2023,0.541,0.421,654,"two hip (lift 19.1, wsp. 5); of the sf (lift 18.8, wsp. 4); range 24 to (lift 14.8, wsp. 4); reviewed at (lift 13.0, wsp. 6); knee had (lift 12.4, wsp. 5)",[2020] Hip Arthroscopy Successfully Treats Femoroacetabular Impingement in Adolescent Athletes. | [2020] Effective Prevention of Proximal Junctional Failure in Adult Spinal Deformity Surgery Requires a Combination of Surgical Implant Prophylaxis and Avoidance of Sagittal Alignment Overcorrection. | [2020] Fixation of Transverse Acetabular Fractures With Precontoured Plates Alone Causes Fracture Malreduction: A Biomechanical Assessment.,"[2023] Minimally invasive decompression alone versus fusion surgery for acute lumbar disk herniation combined incomplete cauda equina syndrome. | [2023] Lateral decubitus single position anterior posterior surgery improves operative efficiency, improves perioperative outcomes, and maintains radiological outcomes comparable with traditional anterior posterior fusion at minimum 2-year follow-up. | [2023] Anatomical risk factors for aseptic loosening of full hinge knee prosthesis in primary and revision TKAs.",two hip,[2019] Are Complications After the Bernese Periacetabular Osteotomy Associated With Subsequent Outcomes Scores? | [2019] Cementless hip arthroplasty and transverse shortening femoral osteotomy with the S-ROM stem for Crowe type IV developmental dysplasia. | [2019] What Is the Survivorship of Revision Surgery Performed for the Chronically Dislocated THA?,"[2019] Long-Term Survival of the Cemented Exeter Universal Stem in Patients 50 Years and Younger: An Update on 130 Hips. | [2021] Patients Obtain Meaningful Clinical Benefit After Hip Arthroscopy Despite Preoperative Psychological Distress: A Propensity-Matched Analysis of Mid-Term Outcomes. | [2021] Patients With Concomitant Painful External Snapping Hip and Femoroacetabular Impingement Syndromes Reported Complete Snapping Resolution With Release of the Gluteus Maximus and Iliotibial Band, and Comparable Minimum 2-Year Outcomes to a Propensity-Matched Control Group.",,,
study protocol,2,2019,0.076,0.06,0.035,0.062,0.058,0.064,0.084,0.066,0.127,0.179,0.2,0.23,0.285,0.271,0.31,0.696,0.362,0.353,0.376,0.412,0.515,2020,0.696,0.404,693,"waiting list (lift 28.9, wsp. 5); immobilization in (lift 19.3, wsp. 5); the usual (lift 15.1, wsp. 5); of immobilization (lift 14.6, wsp. 5); replacement has (lift 12.7, wsp. 5)","[2018] Grave fraudulence in medical device research: a narrative review of the PIN seeding study for the Pinnacle hip system. | [2018] The prevention of delirium in elderly with obstructive sleep apnea (PODESA) study: protocol for a multi-centre prospective randomized, controlled trial. | [2018] An integrated-delivery-of-care approach to improve patient reported physical function and mental wellbeing after orthopedic trauma: study protocol for a randomized controlled trial.",[2023] Surgical treatment of neuromuscular Early Onset Scoliosis with a bilateral posterior one-way rod compared to the Spring Distraction System: study protocol for a limited-efficacy Randomized Controlled Trial (BiPOWR). | [2023] Effect of dexmedetomidine on postoperative cognitive dysfunction in elderly patients undergoing orthopaedic surgery: study protocol for a randomized controlled trial. | [2023] Readability of Online Patient Education Materials for Total Joint Arthroplasty: A Systematic Review.,waiting list,[2017] Rationing of hip and knee referrals in the public hospital: the true unmet need. | [2017] Hip and knee arthroplasty waiting list - how accurate and fair? | [2017] Factors associated with local recurrence in operated osteosarcomas: A retrospective evaluation of 95 cases from a tertiary care center in a resource challenged environment.,"[2018] Improving physical activity, pain and function in patients waiting for hip and knee arthroplasty by combining targeted exercise training with behaviour change counselling: study protocol for a randomised controlled trial. | [2019] Local infiltration with cocktail analgesics during 2 level lumbar spinal fusion surgery: Study protocol of a randomized controlled trial. | [2020] Osteoarthritis Preoperative Package for care of Orthotics, Rehabilitation, Topical and oral agent Usage and Nutrition to Improve ouTcomes at a Year (OPPORTUNITY); a feasibility study protocol for a randomised contro",,,
recovery after surgery,3,2018,0.0,0.012,0.035,0.021,0.019,0.018,0.05,0.05,0.015,0.03,0.089,0.058,0.09,0.167,0.297,0.268,0.387,0.36,0.391,0.371,0.482,2025,0.482,0.398,469,"infusion (lift 6.6, wsp. 4); experience with (lift 4.1, wsp. 5)","[2017] Spine Oncology-Metastatic Spine Tumors. | [2017] Enhanced recovery after surgery for hip and knee arthroplasty: where is the evidence? | [2017] Effect of low appendicular lean mass, grip strength, and gait speed on the functional outcome after surgery for distal radius fractures.","[2023] Key Elements of Enhanced Recovery after Total Joint Arthroplasty: A Reanalysis of the Enhanced Recovery after Surgery Guidelines. | [2024] Analgesic Effects of Preoperative Combination of Oral Pregabalin and Intravenous Magnesium Sulfate on Postoperative Pain in Patients Undergoing Posterolateral Spinal Fusion Surgery: A 4-arm, Randomized, Double-blind, Placebo-controlled Trial. | [2023] The implementation of enhanced recovery after surgery pathway in patients undergoing posterior thoracolumbar fusion for degenerative spinal deformity.",infusion,"[2016] Narcotic-only Epidural Infusion for Posterior Spinal Fusion Patients: A Single-Center, Retrospective Review. | [2016] Dexmedetomidine added to an opioid-based analgesic regimen for the prevention of postoperative nausea and vomiting in highly susceptible patients: A randomised controlled trial. | [2016] An Observational Study of Cerebral Blood Flow Velocity During Hypotensive Epidural Anesthesia.","[2019] Multimodal Nutritional Management in Primary Lumbar Spine Surgery: A Randomized Controlled Trial. | [2019] Reductions in length of stay, narcotics use, and pain following implementation of an enhanced recovery after surgery program for 1- to 3-level lumbar fusion surgery. | [2019] Establishment and Implementation of an Enhanced Recovery After Surgery (ERAS) Pathway Tailored for Minimally Invasive Transforaminal Lumbar Interbody Fusion Surgery.",,,
to sport after,3,2013,0.038,0.0,0.012,0.072,0.029,0.009,0.042,0.075,0.112,0.127,0.111,0.173,0.195,0.25,0.374,0.268,0.362,0.318,0.346,0.452,0.502,2025,0.502,0.397,559,"of the involved (lift 43.5, wsp. 4); suture anchor (lift 13.3, wsp. 4); guideline for (lift 5.9, wsp. 4); resurfacing (lift 5.1, wsp. 4)",[2012] Predictors of participation in sports after hip and knee arthroplasty. | [2012] Translation and measurement properties of the Swedish version of ACL-Return to Sports after Injury questionnaire. | [2012] Running activity after hip resurfacing arthroplasty: a prospective study.,[2023] Validation of a Survey to Characterize Barriers to Physical Activity After Anterior Cruciate Ligament Reconstruction. | [2023] Return to Sport After Arthroscopic Bankart Repair With Remplissage: A Systematic Review. | [2023] Return-to-Sport Outcomes After Anterior Cruciate Ligament Surgical Treatment May Be Improved by Attention to Modifiable Factors and Consideration of Nonmodifiable Factors.,of the involved,[2011] Long head of the biceps tendon rupture in professional wrestlers: treatment with a mini-open tenodesis. | [2011] Sagittal segmental alignment as predictor of adjacent-level degeneration after a cloward procedure. | [2011] [Recommendations for the treatment of thoracolumbar and lumbar spine injuries].,[2012] No association of time from surgery with functional deficits in athletes after anterior cruciate ligament reconstruction: evidence for objective return-to-sport criteria. | [2013] Gait patterns differ between ACL-reconstructed athletes who pass return-to-sport criteria and those who fail. | [2015] The influence of quadriceps strength asymmetry on patient-reported function at time of return to sport after anterior cruciate ligament reconstruction.,,,
matched analysis,2,2018,0.0,0.0,0.0,0.01,0.0,0.009,0.025,0.008,0.022,0.03,0.052,0.05,0.09,0.153,0.174,0.184,0.287,0.353,0.368,0.472,0.468,2024,0.472,0.389,406,"of background data (lift 5.3, wsp. 11); summary of background (lift 5.3, wsp. 11); technique of (lift 3.1, wsp. 4)",[2017] The Frank Stinchfield Award : Total Hip Arthroplasty for Femoral Neck Fracture Is Not a Typical DRG 470: A Propensity-matched Cohort Study. | [2017] Propensity-matched Analysis of Outcomes and Hospital Charges for Anterior Versus Posterior Cervical Fusion for Cervical Spondylotic Myelopathy. | [2017] Endovascular Versus Open Revascularization for Peripheral Arterial Disease.,[2023] Clinical Effect of Isolated Lateral Closing Wedge Distal Femoral Osteotomy Compared to Medial Opening Wedge High Tibial Osteotomy for the Correction of Varus Malalignment: A Propensity Score-Matched Analysis. | [2023] A propensity score-matched analysis on the impact of patient and surgical factors on early periprosthetic joint infection in minimally invasive anterolateral and transgluteal total hip arthroplasty. | [2023] Effects of a Continuous Adductor Canal Block After Total Knee Arthroplasty.,of background data,"[2018] Clinical and Radiological Mid-Term Outcomes of Lumbar Single-Level Total Disc Replacement. | [2016] Evaluation of Anterior Vertebral Interbody Fusion Using Osteogenic Mesenchymal Stem Cells Transplanted in Collagen Sponge. | [2016] PEEK Versus Ti Interbody Fusion Devices: Resultant Fusion, Bone Apposition, Initial and 26-Week Biomechanics.",[2017] Propensity-matched Analysis of Outcomes and Hospital Charges for Anterior Versus Posterior Cervical Fusion for Cervical Spondylotic Myelopathy. | [2017] Endovascular Versus Open Revascularization for Peripheral Arterial Disease. | [2018] Comparison of 30-Day Complications Between Navigated and Conventional Single-level Instrumented Posterior Lumbar Fusion: A Propensity Score Matched Analysis.,,,
a retrospective observational,3,2016,0.013,0.024,0.012,0.01,0.039,0.055,0.042,0.083,0.067,0.045,0.096,0.158,0.181,0.174,0.168,0.19,0.331,0.304,0.368,0.439,0.348,2024,0.439,0.358,452,"patient with rheumatoid (lift 15.4, wsp. 4); with rheumatoid arthritis (lift 13.5, wsp. 4); in whom (lift 6.0, wsp. 4); rheumatoid arthritis (lift 5.1, wsp. 4); of background data (lift 3.8, wsp. 8)",[2015] Prophylactic effect of fondaparinux and enoxaparin for preventing pulmonary embolism after total hip or knee arthroplasty: A retrospective observational study using the Japanese Diagnosis Procedure Combination database. | [2015] Management of paediatric maxillofacial fractures: conventional methods and resorbable materials. | [2015] Clinical characteristics and survival of patients with diabetes mellitus following non-traumatic lower extremity amputation.,[2023] Prosthetic fitting associated with better survival at 5 years after above-knee amputation due to vascular insufficiency. | [2023] Surgical and perioperative management of flail chest with titanium plates: a French cohort series from a thoracic referral center. | [2023] How Does Preoperative Anemia Impact Clinical Outcomes Following Primary Total Hip Arthroplasty?: Experience From Colombia.,patient with rheumatoid,"[2014] [Knee pain of unknown origin after total knee prosthesis in a patient with chronic polyarthritis]. | [2014] Editorial: Arthroplasty outcomes are improving, but why isn't my patient with rheumatoid arthritis doing as well? | [2014] Increased risk of complications following total joint arthroplasty in patients with rheumatoid arthritis.",[2015] Longer operative time is the risk for delayed wound healing after forefoot surgery in patients with rheumatoid arthritis. | [2017] Outcomes of modified metatarsal shortening offset osteotomy for forefoot deformity in patients with rheumatoid arthritis: Short to mid-term follow-up. | [2018] Modified Scarf Osteotomy with Medial Capsule Interposition for Hallux Valgus in Rheumatoid Arthritis: A Study of Cases Including Severe First Metatarsophalangeal Joint Destruction.,,,
learning model,2,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.028,0.064,0.077,0.144,0.277,0.323,0.472,0.522,2025,0.522,0.345,283,,[2020] A Novel Machine Learning Model Developed to Assist in Patient Selection for Outpatient Total Shoulder Arthroplasty. | [2020] Intraoperative integration of structured light scanning for automatic tissue classification: a feasibility study. | [2021] Classification of Opioid Usage Through Semi-Supervised Learning for Total Joint Replacement Patients.,[2023] Artificial Intelligence-Based Prediction of Lower Extremity Deep Vein Thrombosis Risk After Knee/Hip Arthroplasty. | [2023] The Use of Artificial Intelligence for the Prediction of Periprosthetic Joint Infection Following Aseptic Revision Total Knee Arthroplasty. | [2023] Using machine learning to predict venous thromboembolism and major bleeding events following total joint arthroplasty.,because,[2019] Customised Cranioplasty Implant for Decompressive Craniectomy Patients ? A Technical Note. | [2019] Recurrent Patellar Instability: Implications of Preoperative Patellar Crepitation on the Status of the Patellofemoral Articular Cartilage. | [2019] Medical Versus Surgical Approach to Initial Treatment in Septic Arthritis: A Single Spanish Center's 8-Year Experience.,[2021] Using machine learning to identify diabetes patients with canagliflozin prescriptions at high-risk of lower extremity amputation using real-world data. | [2022] Deep learning for biomechanical modeling of facial tissue deformation in orthognathic surgical planning. | [2022] Automatic Detection of Meniscus Tears Using Backbone Convolutional Neural Networks on Knee MRI.,,,
network meta analysis,3,2017,0.0,0.0,0.0,0.0,0.01,0.0,0.008,0.041,0.007,0.037,0.104,0.065,0.153,0.132,0.181,0.291,0.287,0.242,0.338,0.452,0.401,2024,0.452,0.344,407,"dabigatran (lift 67.8, wsp. 4); epidural analgesia (lift 49.5, wsp. 4); enoxaparin (lift 36.7, wsp. 4); molecular weight heparin (lift 33.6, wsp. 5); low molecular weight (lift 32.7, wsp. 5)",[2016] A Network Meta-analysis of Outcomes of 7 Surgical Treatments for Distal Radius Fractures. | [2016] AMSSM Scientific Statement Concerning Viscosupplementation Injections for Knee Osteoarthritis: Importance for Individual Patient Outcomes. | [2016] AMSSM scientific statement concerning viscosupplementation injections for knee osteoarthritis: importance for individual patient outcomes.,[2023] Efficacy of 11 anticoagulants for the prevention of venous thromboembolism after total hip or knee arthroplasty: A systematic review and network meta-analysis. | [2023] Comparative efficacy of the different cutting guides in unicompartmental knee arthroplasty: A systematic-review and network meta-analysis. | [2023] Femoral Nerve Block and Local Instillation Analgesia Associated With More Reliable Efficacy in Regional Anesthesia Interventions Within 24 Hours Following Anterior Cruciate Ligament Reconstruction: A Network Meta-analysis.,dabigatran,"[2015] A systematic review of contemporary trials of anticoagulants in orthopaedic thromboprophylaxis: suggestions for a radical reappraisal. | [2015] Practical aspects of treatment with target specific anticoagulants: initiation, payment and current market, transitions, and venous thromboembolism treatment. | [2015] Clinical experience with novel oral anticoagulants for thromboprophylaxis after elective hip and knee arthroplasty.",[2015] Testing the therapeutic equivalence of novel oral anticoagulants for thromboprophylaxis in orthopedic surgery and for prevention of stroke in atrial fibrillation. | [2019] Preventive Effects of Different Drugs on Asymptomatic Lower Extremities Deep Venous Thrombosis After Artificial Joint Replacement: A Mixed Treatment Comparison. | [2017] Low-Molecular-Weight Heparin and the Relative Risk of Surgical Site Bleeding Complications: Results of a Systematic Review and Meta-Analysis of Randomized Controlled Trials of Venous Thromboprophylaxis in Patients After Total Joint Arthroplasty.,,,
joint infection after,3,2014,0.0,0.0,0.023,0.041,0.029,0.018,0.042,0.075,0.06,0.112,0.163,0.151,0.188,0.264,0.271,0.363,0.356,0.339,0.406,0.331,0.294,2023,0.406,0.344,512,"infected total (lift 26.5, wsp. 5); all but (lift 13.7, wsp. 4); of the prosthesis (lift 10.5, wsp. 5); hip replacement (lift 3.5, wsp. 7)","[2013] Increased risk of prosthetic joint infection associated with esophago-gastro-duodenoscopy with biopsy. | [2014] The Chitranjan Ranawat Award: Should prophylactic antibiotics be withheld before revision surgery to obtain appropriate cultures? | [2013] Early prosthetic hip joint infection treated with debridement, prosthesis retention and biofilm-active antibiotics: functional outcomes, quality of life and complications.",[2023] Microbiological profiles and antibiotic resistance of periprosthetic joint infection after hip replacement in patients with fracture or non-fracture: A comparative study. | [2023] Application of next-generation sequencing technology in the detection of pathogenic bacteria of the periprosthetic joint infection after arthroplasty. | [2023] Comparison of survival rates between total knee arthroplasty after a previous anterior cruciate ligament reconstruction and primary total knee arthroplasty via propensity score matching.,infected total,[2012] Restoration of the distal femur impacts patellar height in revision TKA. | [2012] Is there a preferred articulating spacer technique for infected knee arthroplasty? A preliminary study. | [2012] Repeat 2-stage exchange for infected total hip arthroplasty: a viable option?,[2013] [The microbiology and antimicrobial susceptibility of the infected knee arthroplasty]. | [2014] Tantalum acetabular augments in one-stage exchange of infected total hip arthroplasty: a case-control study. | [2015] Cement-within-cement revision of infected total hip replacement; disappointing results in 10 retrospective cases.,,,
after hip arthroscopy,3,2014,0.013,0.036,0.023,0.031,0.029,0.064,0.084,0.133,0.097,0.164,0.2,0.209,0.181,0.292,0.432,0.41,0.412,0.318,0.316,0.391,0.274,2019,0.432,0.344,593,"iv therapeutic case (lift 32.3, wsp. 12); therapeutic case series (lift 31.9, wsp. 13); chondral defect (lift 31.3, wsp. 5); arthroscopy of (lift 21.4, wsp. 5); level iv therapeutic (lift 14.0, wsp. 12)",[2013] The accuracy of magnetic resonance arthrography in hip arthroscopic labral revision surgery. | [2013] Return to play after hip arthroscopy with microfracture in elite athletes. | [2013] Joint space predicts THA after hip arthroscopy in patients 50 years and older.,[2023] Editorial Commentary: Most Patients With Borderline Hip Dysplasia Do Well After Hip Arthroscopy: Could Instability Be the Problem for Those Who Do Poorly? | [2023] Editorial Commentary: The Optimal Nerve Block for Hip Arthroscopy Is Undetermined. | [2023] Editorial Commentary: Diminished Hip Labral Width May Predict Inferior Outcome After Hip Femoroacetabular Impingement Surgery: Diminutive Labral Width Is a Relative Indication for Labral Reconstruction.,iv therapeutic case,[2012] Histopathology of residual tendon in high-grade articular-sided partial-thickness rotator cuff tears (PASTA lesions). | [2012] Micro-organism colonization and intraoperative contamination in patients undergoing arthroscopic anterior cruciate ligament reconstruction. | [2012] Arthroscopic management of selective loss of external rotation after surgical stabilization of traumatic anterior glenohumeral instability: arthroscopic restoration of anterior transverse sliding procedure.,[2012] Intra-abdominal fluid extravasation during hip arthroscopy: a survey of the MAHORN group. | [2013] Arthroscopic management of primary synovial chondromatosis of the hip. | [2013] The incidence of heterotopic ossification in hip arthroscopy.,,,
